block_type,grid,epochs,delta_direction_mean,delta_direction_std,delta_direction_min,delta_direction_max,delta_direction_range,delta_direction_last,order_utilization_mean,order_utilization_std,order_utilization_min,order_utilization_max,order_utilization_range,order_utilization_last
gru,8,80-100,0.007180952380952383,0.001066198877016615,0.005199999999999982,0.009299999999999975,0.0040999999999999925,0.006199999999999983,0.05315238095238094,0.0016325904182993827,0.04859999999999998,0.05580000000000007,0.007200000000000095,0.0532999999999999
gru,16,80-100,0.0011142857142857237,0.002566874273784154,-0.0043999999999999595,0.00770000000000004,0.0121,0.0022000000000000908,0.07804285714285715,0.0019905901083828977,0.0716,0.0807,0.009099999999999997,0.07810000000000006
gru,32,80-100,0.03650952380952382,0.0012153403450042477,0.03400000000000003,0.03870000000000007,0.0047000000000000375,0.03649999999999998,0.10566666666666666,0.0013299958228839988,0.10189999999999999,0.10770000000000002,0.005800000000000027,0.10539999999999994
mamba,8,80-100,0.009295238095238093,0.0011553091486805488,0.005899999999999905,0.011900000000000022,0.006000000000000116,0.009300000000000086,0.048647619047619065,0.0011826600556610622,0.045399999999999996,0.051000000000000045,0.005600000000000049,0.047900000000000054
mamba,16,80-100,0.005195238095238104,0.00125640310125154,0.0020000000000000018,0.00770000000000004,0.005700000000000038,0.005400000000000071,0.07243333333333334,0.0015896490578061922,0.07069999999999999,0.07769999999999999,0.007000000000000006,0.07289999999999996
mamba,32,80-100,0.03932857142857143,0.002010245864409179,0.03499999999999992,0.04260000000000008,0.007600000000000162,0.040200000000000014,0.11895714285714286,0.0020183848867400037,0.11399999999999999,0.12460000000000004,0.010600000000000054,0.11920000000000008
