block_type,grid,epoch,acc_row,acc_col,acc_real_4dir,acc_same_row_4,acc_shuffle_row,delta_direction,order_utilization
gru,8,55,0.7468,0.7494,0.7807,0.7784,0.693,0.0022999999999999687,0.05380000000000007
gru,8,56,0.7454,0.7362,0.7828,0.7747,0.6932,0.008099999999999996,0.05219999999999991
gru,8,57,0.7534,0.7505,0.79,0.7893,0.6936,0.0007000000000000339,0.059799999999999964
gru,8,58,0.7521,0.7477,0.784,0.7856,0.6951,-0.0015999999999999348,0.05699999999999994
gru,8,59,0.7505,0.7507,0.7848,0.7808,0.6964,0.0040000000000000036,0.054099999999999926
gru,8,60,0.7526,0.7479,0.7891,0.7848,0.7017,0.0042999999999999705,0.050900000000000056
gru,8,61,0.7516,0.7502,0.7899,0.7895,0.6976,0.00040000000000006697,0.05400000000000005
gru,8,62,0.7532,0.7503,0.7908,0.7856,0.6974,0.005199999999999982,0.05579999999999996
gru,8,63,0.7551,0.7587,0.7923,0.7882,0.6969,0.0040999999999999925,0.05820000000000003
gru,8,64,0.7576,0.7542,0.7965,0.7873,0.701,0.009199999999999986,0.056600000000000095
gru,8,65,0.7591,0.7573,0.7985,0.7929,0.7031,0.005599999999999938,0.05600000000000005
gru,8,66,0.757,0.7521,0.7921,0.7873,0.7003,0.0048000000000000265,0.05669999999999997
gru,8,67,0.7622,0.7591,0.797,0.7904,0.707,0.00660000000000005,0.05520000000000003
gru,8,68,0.7549,0.7585,0.7935,0.7906,0.7029,0.0029000000000000137,0.052000000000000046
gru,8,69,0.7572,0.7555,0.7912,0.7883,0.7029,0.0029000000000000137,0.054300000000000015
gru,8,70,0.7591,0.7575,0.8007,0.793,0.7073,0.007699999999999929,0.05179999999999996
gru,8,71,0.7602,0.758,0.8,0.7977,0.7072,0.0023000000000000798,0.052999999999999936
gru,8,72,0.7593,0.7571,0.7982,0.7906,0.7091,0.007600000000000051,0.05020000000000002
gru,8,73,0.762,0.7597,0.8036,0.7952,0.7049,0.008399999999999963,0.05710000000000004
gru,8,74,0.7634,0.7597,0.8021,0.7962,0.7107,0.005900000000000016,0.05269999999999997
gru,8,75,0.7637,0.7589,0.8028,0.7995,0.707,0.0032999999999999696,0.056700000000000084
gru,8,76,0.7611,0.7624,0.8066,0.8015,0.7107,0.005099999999999993,0.0504
gru,8,77,0.7644,0.7637,0.8027,0.7979,0.7105,0.0047999999999999154,0.05389999999999995
gru,8,78,0.7684,0.7639,0.8019,0.799,0.7077,0.0028999999999999027,0.060699999999999976
gru,8,79,0.768,0.764,0.8064,0.8027,0.7111,0.0037000000000000366,0.05690000000000006
gru,8,80,0.764,0.7652,0.8064,0.7994,0.7154,0.007000000000000006,0.04859999999999998
gru,8,81,0.7636,0.7639,0.8062,0.7999,0.713,0.006299999999999972,0.05059999999999998
gru,8,82,0.767,0.7691,0.8055,0.7976,0.7148,0.007900000000000018,0.052200000000000024
gru,8,83,0.7682,0.7628,0.8106,0.8022,0.7138,0.008399999999999963,0.054400000000000004
gru,8,84,0.7679,0.7659,0.8076,0.8024,0.7163,0.005199999999999982,0.05159999999999998
