block_type,grid,epoch,acc_channel_real_4dir,acc_channel_same_row_4,acc_channel_same_perm_4,acc_channel_rand_perm_4,delta_direction,order_utilization
gru,8,73,0.6644,0.6761,0.6333,0.6336,-0.011700000000000044,
gru,8,74,0.6618,0.6749,0.6308,0.6374,-0.0131,
gru,8,75,0.6615,0.6713,0.6293,0.6369,-0.009800000000000031,
gru,8,76,0.6656,0.6729,0.6317,0.637,-0.007300000000000084,
gru,8,77,0.6638,0.6749,0.636,0.6392,-0.01110000000000011,
gru,8,78,0.6637,0.6714,0.6321,0.638,-0.00770000000000004,
gru,8,79,0.6631,0.6738,0.631,0.6374,-0.010699999999999932,
gru,8,80,0.6691,0.6804,0.6343,0.6383,-0.011299999999999977,
gru,8,81,0.6657,0.6752,0.6332,0.6393,-0.009500000000000064,
gru,8,82,0.6668,0.6758,0.6361,0.64,-0.009000000000000008,
gru,8,83,0.6666,0.6791,0.6376,0.6397,-0.012500000000000067,
gru,8,84,0.6707,0.6827,0.6351,0.6419,-0.01200000000000001,
gru,8,85,0.6708,0.6794,0.6371,0.6408,-0.008600000000000052,
gru,8,86,0.6653,0.6772,0.6318,0.635,-0.011900000000000022,
gru,8,87,0.6702,0.6803,0.6391,0.6409,-0.010099999999999998,
gru,8,88,0.6708,0.6794,0.634,0.6378,-0.008600000000000052,
gru,8,89,0.6693,0.6805,0.6374,0.64,-0.011199999999999988,
gru,8,90,0.6688,0.6801,0.6382,0.6432,-0.011300000000000088,
gru,8,91,0.6707,0.6802,0.6385,0.6431,-0.009500000000000064,
gru,8,92,0.6706,0.6811,0.6377,0.6419,-0.010500000000000065,
gru,8,93,0.6697,0.681,0.6363,0.6422,-0.011300000000000088,
gru,8,94,0.6678,0.6787,0.6388,0.6416,-0.01090000000000002,
gru,8,95,0.6678,0.6815,0.636,0.6415,-0.013700000000000045,
gru,8,96,0.6702,0.6805,0.6367,0.642,-0.010299999999999976,
gru,8,97,0.6708,0.6809,0.6373,0.6427,-0.010099999999999998,
gru,8,98,0.6702,0.6813,0.6383,0.6422,-0.011099999999999999,
gru,8,99,0.6705,0.6815,0.6384,0.6423,-0.01100000000000001,
gru,8,100,0.6705,0.6815,0.6384,0.6423,-0.01100000000000001,
gru,16,1,0.2588,0.2575,0.2653,0.2643,0.0012999999999999678,
gru,16,2,0.3561,0.3533,0.3609,0.3578,0.0028000000000000247,
gru,16,3,0.4307,0.4186,0.4247,0.4254,0.0121,
gru,16,4,0.4653,0.459,0.4484,0.445,0.006299999999999972,
gru,16,5,0.4914,0.485,0.4757,0.4759,0.006400000000000017,
gru,16,6,0.5145,0.5264,0.4919,0.4909,-0.011900000000000022,
gru,16,7,0.5459,0.5453,0.5192,0.5197,0.0006000000000000449,
gru,16,8,0.5568,0.5612,0.5274,0.5277,-0.0044000000000000705,
gru,16,9,0.5638,0.5698,0.5309,0.5294,-0.006000000000000005,
gru,16,10,0.5791,0.5825,0.5418,0.5433,-0.0034000000000000696,
gru,16,11,0.5876,0.5929,0.5426,0.5451,-0.005299999999999971,
gru,16,12,0.5964,0.5886,0.5575,0.5579,0.007800000000000029,
gru,16,13,0.6099,0.6081,0.561,0.5643,0.0018000000000000238,
gru,16,14,0.6038,0.6137,0.5618,0.5566,-0.00990000000000002,
gru,16,15,0.6178,0.6146,0.5629,0.5488,0.0031999999999999806,
gru,16,16,0.6131,0.6208,0.5557,0.553,-0.00770000000000004,
gru,16,17,0.6298,0.623,0.573,0.5696,0.006800000000000028,
gru,16,18,0.6194,0.6216,0.5693,0.5643,-0.0022000000000000908,
gru,16,19,0.629,0.6255,0.5802,0.5749,0.0035000000000000586,
gru,16,20,0.6348,0.6382,0.5852,0.5865,-0.0033999999999999586,
gru,16,21,0.6438,0.6378,0.5884,0.5847,0.006000000000000005,
gru,16,22,0.6356,0.641,0.589,0.5897,-0.00539999999999996,
gru,16,23,0.6456,0.6406,0.5911,0.595,0.0050000000000000044,
gru,16,24,0.6337,0.6361,0.5933,0.5821,-0.0023999999999999577,
gru,16,25,0.6569,0.6547,0.5922,0.5917,0.0022000000000000908,
gru,16,26,0.6281,0.6337,0.5686,0.5748,-0.005600000000000049,
gru,16,27,0.6458,0.651,0.5948,0.5918,-0.005199999999999982,
gru,16,28,0.6492,0.6573,0.6083,0.598,-0.008099999999999996,
gru,16,29,0.6377,0.6342,0.5927,0.5841,0.0035000000000000586,
gru,16,30,0.6548,0.664,0.6002,0.5905,-0.009199999999999986,
gru,16,31,0.6578,0.6518,0.61,0.6022,0.006000000000000005,
gru,16,32,0.6573,0.6564,0.5948,0.5972,0.0009000000000000119,
gru,16,33,0.6648,0.6595,0.6059,0.6034,0.005299999999999971,
gru,16,34,0.6649,0.6511,0.6121,0.6052,0.013800000000000034,
gru,16,35,0.6661,0.6652,0.6111,0.6027,0.0009000000000000119,
gru,16,36,0.659,0.6607,0.6135,0.6105,-0.0016999999999999238,
gru,16,37,0.6701,0.6714,0.613,0.6104,-0.0012999999999999678,
gru,16,38,0.671,0.67,0.6086,0.6112,0.0010000000000000009,
gru,16,39,0.6512,0.6561,0.6105,0.6017,-0.0049000000000000155,
gru,16,40,0.6702,0.6711,0.6171,0.609,-0.0009000000000000119,
gru,16,41,0.6723,0.6778,0.6119,0.6169,-0.005499999999999949,
gru,16,42,0.6688,0.676,0.6174,0.6161,-0.007200000000000095,
gru,16,43,0.6666,0.678,0.6197,0.614,-0.011400000000000077,
gru,16,44,0.6707,0.6842,0.6141,0.618,-0.013500000000000068,
gru,16,45,0.6819,0.6806,0.6221,0.6139,0.0012999999999999678,
gru,16,46,0.675,0.6862,0.6194,0.6206,-0.011199999999999988,
gru,16,47,0.6811,0.6858,0.6249,0.6214,-0.0046999999999999265,
gru,16,48,0.6758,0.6811,0.6307,0.6252,-0.005300000000000082,
gru,16,49,0.6782,0.6811,0.6262,0.6274,-0.0029000000000000137,
gru,16,50,0.6682,0.6883,0.6217,0.6121,-0.020100000000000007,
gru,16,51,0.6768,0.686,0.6206,0.625,-0.009200000000000097,
gru,16,52,0.6738,0.6936,0.6312,0.6281,-0.01980000000000004,
gru,16,53,0.6815,0.6896,0.6259,0.6208,-0.008099999999999996,
gru,16,54,0.6817,0.6856,0.6337,0.62,-0.0039000000000000146,
gru,16,55,0.6771,0.692,0.6314,0.631,-0.014899999999999913,
gru,16,56,0.6874,0.692,0.6293,0.6253,-0.0045999999999999375,
gru,16,57,0.6821,0.6954,0.624,0.6253,-0.013299999999999979,
gru,16,58,0.6773,0.6941,0.6328,0.6273,-0.016800000000000037,
gru,16,59,0.6866,0.6996,0.6325,0.6321,-0.013000000000000012,
gru,16,60,0.6902,0.6973,0.634,0.6299,-0.007099999999999995,
gru,16,61,0.687,0.6971,0.6401,0.6395,-0.010099999999999998,
gru,16,62,0.6918,0.6991,0.6354,0.6342,-0.007300000000000084,
gru,16,63,0.6878,0.6944,0.6286,0.629,-0.00660000000000005,
gru,16,64,0.6904,0.6984,0.6373,0.6361,-0.008000000000000007,
gru,16,65,0.6944,0.7021,0.6422,0.6429,-0.007699999999999929,
gru,16,66,0.6868,0.6965,0.6405,0.6331,-0.009700000000000042,
gru,16,67,0.6936,0.7043,0.6366,0.6401,-0.010700000000000043,
gru,16,68,0.6918,0.7031,0.6395,0.6441,-0.011299999999999977,
gru,16,69,0.6926,0.7047,0.6398,0.6441,-0.0121,
gru,16,70,0.6938,0.6972,0.6397,0.6388,-0.0034000000000000696,
gru,16,71,0.6939,0.7055,0.6417,0.6449,-0.011600000000000055,
gru,16,72,0.6974,0.706,0.645,0.6427,-0.008599999999999941,
gru,16,73,0.6972,0.7072,0.6427,0.6388,-0.010000000000000009,
gru,16,74,0.6977,0.7069,0.6407,0.6451,-0.009199999999999986,
gru,16,75,0.6916,0.7026,0.6406,0.6417,-0.01100000000000001,
gru,16,76,0.697,0.7123,0.6445,0.6467,-0.015300000000000091,
gru,16,77,0.7016,0.7087,0.6466,0.6472,-0.007099999999999995,
gru,16,78,0.6958,0.7101,0.6456,0.6469,-0.01429999999999998,
gru,16,79,0.6972,0.7111,0.6479,0.6487,-0.013899999999999912,
gru,16,80,0.7013,0.7113,0.6497,0.6493,-0.010000000000000009,
gru,16,81,0.6998,0.711,0.6459,0.6435,-0.011199999999999988,
gru,16,82,0.7,0.7105,0.6466,0.649,-0.010500000000000065,
gru,16,83,0.6997,0.7123,0.6474,0.6476,-0.012600000000000056,
gru,16,84,0.7017,0.7145,0.6491,0.6532,-0.012800000000000034,
gru,16,85,0.7038,0.7142,0.6467,0.6501,-0.010399999999999965,
gru,16,86,0.7018,0.7084,0.6469,0.6447,-0.00660000000000005,
gru,16,87,0.7019,0.7138,0.6504,0.6525,-0.011900000000000022,
gru,16,88,0.702,0.7139,0.6488,0.6522,-0.011900000000000022,
gru,16,89,0.7003,0.7139,0.6508,0.6517,-0.013599999999999945,
gru,16,90,0.7025,0.7141,0.6486,0.6528,-0.011599999999999944,
gru,16,91,0.7024,0.7143,0.6488,0.6496,-0.011900000000000022,
gru,16,92,0.7019,0.7124,0.6505,0.6512,-0.010500000000000065,
gru,16,93,0.7024,0.714,0.6511,0.6535,-0.011599999999999944,
gru,16,94,0.7028,0.713,0.6506,0.6529,-0.010199999999999987,
gru,16,95,0.7036,0.7144,0.6503,0.6528,-0.010800000000000032,
gru,16,96,0.7026,0.7128,0.6519,0.6527,-0.010199999999999987,
gru,16,97,0.7035,0.7134,0.6515,0.6534,-0.00990000000000002,
gru,16,98,0.7035,0.7136,0.6516,0.6541,-0.010099999999999998,
gru,16,99,0.7029,0.7134,0.6511,0.6546,-0.010500000000000065,
gru,16,100,0.7029,0.7134,0.6511,0.6546,-0.010500000000000065,
gru,32,1,0.236,0.2336,0.2388,0.2383,0.0023999999999999855,
gru,32,2,0.2917,0.2854,0.2886,0.2905,0.006300000000000028,
gru,32,3,0.3616,0.3513,0.3452,0.3475,0.010299999999999976,
gru,32,4,0.3968,0.397,0.3673,0.3693,-0.00020000000000003348,
gru,32,5,0.4323,0.4207,0.3976,0.4023,0.0116,
gru,32,6,0.4727,0.4523,0.4352,0.4358,0.02040000000000003,
gru,32,7,0.5091,0.479,0.4577,0.4648,0.030100000000000016,
gru,32,8,0.516,0.4985,0.4702,0.4738,0.017500000000000016,
gru,32,9,0.5243,0.5078,0.4804,0.4848,0.01649999999999996,
gru,32,10,0.5339,0.5211,0.4855,0.4906,0.012800000000000034,
gru,32,11,0.5423,0.5297,0.4948,0.4997,0.012600000000000056,
gru,32,12,0.5601,0.5463,0.505,0.5114,0.013800000000000034,
gru,32,13,0.5559,0.5501,0.513,0.5188,0.005799999999999916,
gru,32,14,0.5609,0.5557,0.5145,0.5177,0.005199999999999982,
gru,32,15,0.5789,0.5487,0.5251,0.5299,0.030200000000000005,
gru,32,16,0.578,0.5745,0.5277,0.5323,0.0034999999999999476,
gru,32,17,0.5895,0.5738,0.5277,0.5295,0.015700000000000047,
gru,32,18,0.5892,0.5767,0.5355,0.5342,0.012499999999999956,
gru,32,19,0.5895,0.584,0.5264,0.5325,0.00550000000000006,
gru,32,20,0.5902,0.5849,0.5342,0.5411,0.005299999999999971,
gru,32,21,0.6,0.5859,0.5359,0.5355,0.014100000000000001,
gru,32,22,0.5983,0.5844,0.5358,0.5369,0.013900000000000023,
gru,32,23,0.6007,0.5905,0.5324,0.534,0.010199999999999987,
gru,32,24,0.6093,0.6066,0.5404,0.5406,0.0026999999999999247,
gru,32,25,0.6069,0.5879,0.5411,0.5422,0.019000000000000017,
gru,32,26,0.6056,0.5995,0.5394,0.5436,0.006099999999999994,
gru,32,27,0.61,0.6007,0.5416,0.5418,0.009299999999999975,
gru,32,28,0.6214,0.6051,0.5382,0.5396,0.01629999999999998,
gru,32,29,0.6098,0.5995,0.543,0.5489,0.010299999999999976,
gru,32,30,0.622,0.613,0.5518,0.5516,0.009000000000000008,
gru,32,31,0.6216,0.605,0.543,0.5434,0.01660000000000006,
gru,32,32,0.6211,0.6173,0.546,0.5461,0.0038000000000000256,
gru,32,33,0.6345,0.6229,0.5491,0.5549,0.011599999999999944,
gru,32,34,0.6319,0.6139,0.5508,0.5522,0.018000000000000016,
gru,32,35,0.6292,0.6235,0.5533,0.5498,0.005699999999999927,
gru,32,36,0.6244,0.6136,0.5479,0.5498,0.01079999999999992,
gru,32,37,0.635,0.6249,0.5551,0.5588,0.010099999999999998,
gru,32,38,0.6338,0.6203,0.5554,0.5578,0.013500000000000068,
gru,32,39,0.6206,0.6138,0.5452,0.547,0.006800000000000028,
gru,32,40,0.6399,0.6279,0.5549,0.5599,0.01200000000000001,
gru,32,41,0.6481,0.6217,0.5583,0.5619,0.02639999999999998,
gru,32,42,0.6412,0.6287,0.5588,0.5552,0.012499999999999956,
gru,32,43,0.6347,0.6166,0.5548,0.5532,0.018100000000000005,
gru,32,44,0.6508,0.6285,0.5568,0.5618,0.022300000000000098,
gru,32,45,0.6453,0.6305,0.5634,0.5604,0.014800000000000035,
gru,32,46,0.6512,0.6322,0.5658,0.5684,0.019000000000000017,
gru,32,47,0.6492,0.64,0.5701,0.5691,0.009199999999999986,
gru,32,48,0.6512,0.6344,0.5647,0.5647,0.016800000000000037,
gru,32,49,0.6541,0.6265,0.5633,0.563,0.02760000000000007,
gru,32,50,0.6475,0.6301,0.5532,0.5605,0.01739999999999997,
gru,32,51,0.6549,0.6293,0.5615,0.5639,0.025600000000000067,
gru,32,52,0.6566,0.6371,0.5692,0.5648,0.019499999999999962,
gru,32,53,0.6559,0.6372,0.5711,0.5721,0.01870000000000005,
gru,32,54,0.6557,0.6418,0.5636,0.5667,0.013899999999999912,
gru,32,55,0.6574,0.6418,0.5628,0.5649,0.015599999999999947,
gru,32,56,0.6618,0.6382,0.5647,0.5715,0.023600000000000065,
