block_type,grid,epoch,acc_channel_real_4dir,acc_channel_same_row_4,acc_channel_same_perm_4,acc_channel_rand_perm_4,delta_direction,order_utilization
mamba,8,68,0.7012,0.6974,0.66,0.6645,0.0038000000000000256,
mamba,8,69,0.6972,0.6928,0.6583,0.6657,0.0044000000000000705,
mamba,8,70,0.7041,0.7045,0.6643,0.6647,-0.00040000000000006697,
mamba,8,71,0.701,0.7034,0.6601,0.6672,-0.0024000000000000687,
mamba,8,72,0.7029,0.7038,0.6642,0.6669,-0.0009000000000000119,
mamba,8,73,0.7105,0.7062,0.6607,0.6669,0.0042999999999999705,
mamba,8,74,0.7024,0.7053,0.6662,0.666,-0.0029000000000000137,
mamba,8,75,0.7061,0.707,0.6623,0.6675,-0.0009000000000000119,
mamba,8,76,0.7076,0.7078,0.6655,0.6691,-0.00019999999999997797,
mamba,8,77,0.7066,0.708,0.6671,0.6723,-0.0013999999999999568,
mamba,8,78,0.7087,0.7058,0.6676,0.6739,0.0029000000000000137,
mamba,8,79,0.708,0.7082,0.6705,0.6693,-0.000200000000000089,
mamba,8,80,0.7125,0.7092,0.6696,0.6729,0.0032999999999999696,
mamba,8,81,0.7104,0.709,0.6659,0.6687,0.0014000000000000679,
mamba,8,82,0.7102,0.7096,0.6691,0.6724,0.0006000000000000449,
mamba,8,83,0.7083,0.7088,0.6691,0.6723,-0.0004999999999999449,
mamba,8,84,0.7116,0.7118,0.6709,0.6769,-0.00019999999999997797,
mamba,8,85,0.7121,0.7091,0.673,0.6757,0.0030000000000000027,
mamba,8,86,0.7139,0.7095,0.6683,0.6728,0.0043999999999999595,
mamba,8,87,0.7119,0.7099,0.6701,0.6752,0.0020000000000000018,
mamba,8,88,0.7109,0.7111,0.6721,0.6749,-0.00019999999999997797,
mamba,8,89,0.7128,0.7124,0.6726,0.6737,0.00039999999999995595,
mamba,8,90,0.714,0.7129,0.6718,0.675,0.0010999999999999899,
mamba,8,91,0.7125,0.7133,0.6721,0.6751,-0.0008000000000000229,
mamba,8,92,0.7138,0.7134,0.6715,0.6786,0.00039999999999995595,
mamba,8,93,0.7111,0.7121,0.6723,0.6764,-0.0010000000000000009,
mamba,8,94,0.7133,0.7121,0.6733,0.6762,0.0012000000000000899,
mamba,8,95,0.7122,0.7112,0.6726,0.6774,0.0010000000000000009,
mamba,8,96,0.7128,0.712,0.6716,0.6766,0.0008000000000000229,
mamba,8,97,0.7139,0.7128,0.6731,0.6767,0.0010999999999999899,
mamba,8,98,0.7136,0.7118,0.6724,0.6767,0.0018000000000000238,
mamba,8,99,0.7139,0.7118,0.6722,0.6767,0.0020999999999999908,
mamba,8,100,0.7139,0.7118,0.6722,0.6767,0.0020999999999999908,
mamba,16,1,0.274,0.2693,0.2602,0.2616,0.0047000000000000375,
mamba,16,2,0.3758,0.3899,0.3421,0.3456,-0.014100000000000001,
mamba,16,3,0.4346,0.4531,0.395,0.3972,-0.018500000000000016,
mamba,16,4,0.4835,0.4972,0.4232,0.426,-0.01369999999999999,
mamba,16,5,0.509,0.5233,0.4519,0.4571,-0.01429999999999998,
mamba,16,6,0.5448,0.5512,0.4882,0.4898,-0.006400000000000072,
mamba,16,7,0.5716,0.5644,0.5195,0.5263,0.007199999999999984,
mamba,16,8,0.5801,0.5759,0.5301,0.5284,0.0041999999999999815,
mamba,16,9,0.5918,0.5916,0.53,0.5258,0.00019999999999997797,
mamba,16,10,0.6019,0.5958,0.5332,0.5435,0.006099999999999994,
mamba,16,11,0.6138,0.6213,0.5526,0.551,-0.007499999999999951,
mamba,16,12,0.624,0.6255,0.5699,0.5652,-0.0014999999999999458,
mamba,16,13,0.6237,0.6295,0.5726,0.5776,-0.005799999999999916,
mamba,16,14,0.6269,0.6323,0.5605,0.56,-0.00539999999999996,
mamba,16,15,0.6383,0.6305,0.5696,0.5745,0.007800000000000029,
mamba,16,16,0.6354,0.6354,0.5749,0.5749,0.0,
mamba,16,17,0.6471,0.655,0.5868,0.5922,-0.007900000000000018,
mamba,16,18,0.6542,0.6458,0.5878,0.5879,0.008399999999999963,
mamba,16,19,0.6526,0.6528,0.5819,0.5882,-0.000200000000000089,
mamba,16,20,0.6573,0.6649,0.5958,0.5978,-0.007600000000000051,
mamba,16,21,0.6608,0.6636,0.6022,0.6007,-0.0027999999999999137,
mamba,16,22,0.652,0.6495,0.595,0.5913,0.0025000000000000577,
mamba,16,23,0.6713,0.673,0.6084,0.612,-0.0017000000000000348,
mamba,16,24,0.6599,0.6673,0.5991,0.6057,-0.007399999999999962,
mamba,16,25,0.6669,0.6669,0.6101,0.6138,0.0,
mamba,16,26,0.6554,0.6641,0.6019,0.6042,-0.008700000000000041,
mamba,16,27,0.6666,0.6776,0.6091,0.6175,-0.01100000000000001,
mamba,16,28,0.6761,0.6733,0.6226,0.6208,0.0028000000000000247,
mamba,16,29,0.673,0.6699,0.6144,0.6111,0.0030999999999999917,
mamba,16,30,0.6801,0.6844,0.623,0.6198,-0.0042999999999999705,
mamba,16,31,0.672,0.6807,0.6193,0.6255,-0.00869999999999993,
mamba,16,32,0.677,0.6845,0.6217,0.6316,-0.007499999999999951,
mamba,16,33,0.6885,0.6852,0.6247,0.629,0.0032999999999999696,
mamba,16,34,0.6824,0.6917,0.6292,0.6247,-0.009299999999999975,
mamba,16,35,0.6841,0.6937,0.6351,0.637,-0.009599999999999942,
mamba,16,36,0.688,0.6799,0.6332,0.6291,0.008099999999999996,
mamba,16,37,0.6845,0.6957,0.6301,0.6365,-0.011199999999999988,
mamba,16,38,0.696,0.6902,0.6302,0.6285,0.005799999999999916,
mamba,16,39,0.6856,0.6832,0.6205,0.6207,0.0023999999999999577,
mamba,16,40,0.6987,0.6968,0.6321,0.6285,0.0019000000000000128,
mamba,16,41,0.6974,0.6989,0.6339,0.6392,-0.0014999999999999458,
mamba,16,42,0.6921,0.6909,0.6323,0.6301,0.0012000000000000899,
mamba,16,43,0.6937,0.6924,0.636,0.6378,0.0012999999999999678,
mamba,16,44,0.697,0.6963,0.6354,0.6326,0.0006999999999999229,
mamba,16,45,0.7033,0.6993,0.6387,0.6409,0.0040000000000000036,
mamba,16,46,0.6978,0.7047,0.6432,0.6394,-0.006900000000000017,
mamba,16,47,0.7073,0.7036,0.6527,0.6467,0.0037000000000000366,
mamba,16,48,0.7103,0.7014,0.6452,0.6492,0.008900000000000019,
mamba,16,49,0.709,0.7077,0.6495,0.6487,0.0012999999999999678,
mamba,16,50,0.6871,0.6969,0.6394,0.6404,-0.00979999999999992,
mamba,16,51,0.7061,0.6919,0.644,0.6456,0.01419999999999999,
mamba,16,52,0.708,0.7043,0.6434,0.6386,0.0036999999999999256,
mamba,16,53,0.7113,0.7124,0.6461,0.6496,-0.0010999999999999899,
mamba,16,54,0.7161,0.7166,0.6506,0.6555,-0.000500000000000056,
mamba,16,55,0.7145,0.7084,0.6446,0.6423,0.006099999999999994,
mamba,16,56,0.7185,0.7141,0.6518,0.6558,0.0044000000000000705,
mamba,16,57,0.7113,0.7125,0.6451,0.654,-0.0011999999999999789,
mamba,16,58,0.7109,0.7151,0.6487,0.6504,-0.0041999999999999815,
mamba,16,59,0.7172,0.7176,0.6505,0.6569,-0.00040000000000006697,
mamba,16,60,0.7198,0.7169,0.6485,0.6469,0.0029000000000000137,
mamba,16,61,0.7212,0.7167,0.6564,0.6594,0.0044999999999999485,
mamba,16,62,0.7198,0.7201,0.6518,0.6439,-0.00029999999999996696,
mamba,16,63,0.7172,0.7142,0.651,0.6504,0.0030000000000000027,
mamba,16,64,0.7269,0.719,0.6609,0.6565,0.007900000000000018,
mamba,16,65,0.7245,0.7259,0.6587,0.6559,-0.0013999999999999568,
mamba,16,66,0.7203,0.7226,0.6536,0.6535,-0.0022999999999999687,
mamba,16,67,0.7259,0.7236,0.6578,0.6604,0.0022999999999999687,
mamba,16,68,0.7207,0.7276,0.6598,0.6607,-0.006900000000000017,
mamba,16,69,0.7226,0.7249,0.6599,0.6629,-0.0022999999999999687,
mamba,16,70,0.7252,0.7283,0.6638,0.6617,-0.0030999999999999917,
mamba,16,71,0.7263,0.7262,0.6595,0.6642,9.999999999998899e-05,
mamba,16,72,0.7231,0.7289,0.664,0.6644,-0.005800000000000027,
mamba,16,73,0.7275,0.7289,0.6683,0.6642,-0.0013999999999999568,
mamba,16,74,0.7277,0.7267,0.6669,0.6637,0.0010000000000000009,
mamba,16,75,0.7227,0.7257,0.66,0.6637,-0.0030000000000000027,
mamba,16,76,0.7302,0.7283,0.6633,0.6636,0.0019000000000000128,
mamba,16,77,0.7293,0.7291,0.6682,0.6665,0.00019999999999997797,
mamba,16,78,0.7275,0.7304,0.6665,0.6631,-0.0029000000000000137,
mamba,16,79,0.7302,0.7313,0.6654,0.6636,-0.0010999999999999899,
mamba,16,80,0.7297,0.7288,0.6672,0.6675,0.0009000000000000119,
mamba,16,81,0.7288,0.7282,0.6637,0.6643,0.0006000000000000449,
mamba,16,82,0.7291,0.7289,0.6712,0.6672,0.00019999999999997797,
mamba,16,83,0.7346,0.7316,0.6643,0.6674,0.0030000000000000027,
mamba,16,84,0.7285,0.7294,0.6671,0.6666,-0.0009000000000000119,
mamba,16,85,0.7304,0.7278,0.6686,0.6689,0.0026000000000000467,
mamba,16,86,0.7326,0.7314,0.6705,0.667,0.0011999999999999789,
mamba,16,87,0.7338,0.7321,0.6698,0.6696,0.0017000000000000348,
mamba,16,88,0.7339,0.7316,0.6694,0.6697,0.0022999999999999687,
mamba,16,89,0.7301,0.7339,0.6725,0.67,-0.0038000000000000256,
mamba,16,90,0.7343,0.7331,0.6719,0.6705,0.0011999999999999789,
mamba,16,91,0.7329,0.7334,0.6723,0.6707,-0.000500000000000056,
mamba,16,92,0.7332,0.7352,0.672,0.6688,-0.0020000000000000018,
mamba,16,93,0.7342,0.7338,0.6723,0.6707,0.00039999999999995595,
mamba,16,94,0.7339,0.732,0.6719,0.6696,0.0019000000000000128,
mamba,16,95,0.7323,0.7333,0.6719,0.6702,-0.0010000000000000009,
mamba,16,96,0.7338,0.7329,0.6718,0.6699,0.0009000000000000119,
mamba,16,97,0.7338,0.7339,0.6722,0.6698,-9.999999999998899e-05,
mamba,16,98,0.7339,0.7341,0.6722,0.6695,-0.00019999999999997797,
mamba,16,99,0.734,0.7341,0.6725,0.6696,-9.999999999998899e-05,
mamba,16,100,0.734,0.7341,0.6725,0.6696,-9.999999999998899e-05,
mamba,32,1,0.2466,0.2493,0.252,0.2516,-0.00269999999999998,
mamba,32,2,0.3367,0.3286,0.2947,0.2955,0.008099999999999996,
mamba,32,3,0.4073,0.3976,0.362,0.3643,0.009699999999999986,
mamba,32,4,0.453,0.4329,0.3831,0.3812,0.020100000000000007,
mamba,32,5,0.4755,0.4545,0.4127,0.4113,0.020999999999999963,
mamba,32,6,0.5233,0.5082,0.4394,0.438,0.015100000000000002,
mamba,32,7,0.5431,0.5242,0.4523,0.452,0.018900000000000028,
mamba,32,8,0.5531,0.5334,0.4701,0.4704,0.01970000000000005,
mamba,32,9,0.5676,0.5366,0.4757,0.4732,0.031000000000000028,
mamba,32,10,0.5729,0.5528,0.4851,0.4855,0.020100000000000007,
mamba,32,11,0.5865,0.5708,0.4937,0.4935,0.015700000000000047,
mamba,32,12,0.5905,0.5775,0.4975,0.493,0.013000000000000012,
mamba,32,13,0.5883,0.5852,0.5021,0.4984,0.0030999999999999917,
mamba,32,14,0.6065,0.5893,0.5074,0.5063,0.017199999999999993,
mamba,32,15,0.6034,0.5945,0.4983,0.4982,0.008900000000000019,
mamba,32,16,0.6069,0.598,0.5159,0.5153,0.008900000000000019,
mamba,32,17,0.618,0.6068,0.5174,0.5168,0.011199999999999988,
mamba,32,18,0.601,0.6059,0.5142,0.5145,-0.0049000000000000155,
mamba,32,19,0.6202,0.6124,0.5029,0.499,0.007799999999999918,
mamba,32,20,0.6234,0.6134,0.5306,0.5282,0.010000000000000009,
mamba,32,21,0.628,0.6178,0.5228,0.5219,0.010199999999999987,
mamba,32,22,0.6334,0.6203,0.5247,0.5282,0.0131,
mamba,32,23,0.6378,0.6187,0.5234,0.5258,0.019100000000000006,
mamba,32,24,0.6429,0.6265,0.5324,0.536,0.01640000000000008,
mamba,32,25,0.6428,0.6274,0.5298,0.5315,0.01540000000000008,
mamba,32,26,0.6383,0.6211,0.517,0.5218,0.017199999999999993,
mamba,32,27,0.6377,0.6286,0.5249,0.5291,0.009099999999999997,
mamba,32,28,0.651,0.6334,0.5271,0.5285,0.01760000000000006,
mamba,32,29,0.6564,0.6353,0.5286,0.5306,0.021100000000000008,
mamba,32,30,0.6603,0.6446,0.5301,0.5361,0.015700000000000047,
mamba,32,31,0.6562,0.6424,0.5384,0.5344,0.013800000000000034,
mamba,32,32,0.6615,0.6454,0.5354,0.5381,0.016100000000000003,
mamba,32,33,0.6609,0.6464,0.5349,0.5336,0.014500000000000068,
mamba,32,34,0.6639,0.649,0.5453,0.5396,0.014900000000000024,
mamba,32,35,0.6611,0.6413,0.5476,0.5509,0.01980000000000004,
mamba,32,36,0.6656,0.6458,0.5438,0.5428,0.01979999999999993,
mamba,32,37,0.6709,0.6525,0.5477,0.5466,0.018400000000000083,
mamba,32,38,0.6715,0.6521,0.548,0.5428,0.019399999999999973,
mamba,32,39,0.6647,0.6441,0.5359,0.5417,0.02059999999999995,
mamba,32,40,0.6762,0.6486,0.5516,0.5458,0.02760000000000007,
mamba,32,41,0.6791,0.6528,0.5564,0.5482,0.02629999999999999,
mamba,32,42,0.6762,0.6576,0.547,0.5475,0.01860000000000006,
mamba,32,43,0.6731,0.6504,0.5388,0.5397,0.022700000000000053,
mamba,32,44,0.6793,0.6584,0.5554,0.5546,0.02090000000000003,
mamba,32,45,0.6802,0.6614,0.552,0.5547,0.01880000000000004,
mamba,32,46,0.6806,0.6653,0.5579,0.5564,0.01529999999999998,
mamba,32,47,0.6912,0.6614,0.5571,0.5591,0.02980000000000005,
mamba,32,48,0.6858,0.6632,0.554,0.5535,0.022599999999999953,
mamba,32,49,0.6842,0.6634,0.5574,0.5575,0.02080000000000004,
mamba,32,50,0.6667,0.661,0.5484,0.5494,0.005699999999999927,
mamba,32,51,0.69,0.6586,0.5535,0.5591,0.031399999999999983,
mamba,32,52,0.6911,0.6599,0.5605,0.5559,0.031200000000000006,
mamba,32,53,0.688,0.6667,0.5548,0.5531,0.021299999999999986,
mamba,32,54,0.6958,0.6609,0.557,0.5587,0.03489999999999993,
mamba,32,55,0.6912,0.6717,0.56,0.5576,0.019500000000000073,
mamba,32,56,0.6908,0.6659,0.5575,0.5582,0.024899999999999922,
mamba,32,57,0.6918,0.6711,0.5611,0.5596,0.02069999999999994,
mamba,32,58,0.6929,0.6703,0.5599,0.5607,0.022599999999999953,
mamba,32,59,0.6923,0.6668,0.56,0.5607,0.025500000000000078,
mamba,32,60,0.7006,0.6781,0.559,0.5618,0.022499999999999964,
mamba,32,61,0.7046,0.675,0.5653,0.5622,0.02959999999999996,
mamba,32,62,0.7026,0.6739,0.5652,0.5632,0.028699999999999948,
mamba,32,63,0.7023,0.6726,0.5675,0.5687,0.02970000000000006,
mamba,32,64,0.701,0.6722,0.5648,0.5603,0.028799999999999937,
mamba,32,65,0.7039,0.6784,0.5645,0.5681,0.025499999999999967,
mamba,32,66,0.6992,0.6763,0.5678,0.5669,0.02290000000000003,
mamba,32,67,0.7081,0.6775,0.5643,0.5668,0.03059999999999996,
mamba,32,68,0.7033,0.6751,0.5672,0.5663,0.028200000000000003,
mamba,32,69,0.7065,0.6777,0.5714,0.5691,0.028800000000000048,
mamba,32,70,0.709,0.6813,0.5677,0.5676,0.027699999999999947,
mamba,32,71,0.706,0.679,0.5653,0.5683,0.026999999999999913,
mamba,32,72,0.7103,0.6823,0.5682,0.5658,0.028000000000000025,
mamba,32,73,0.7081,0.6794,0.5719,0.5751,0.028699999999999948,
mamba,32,74,0.709,0.6844,0.5716,0.5714,0.024599999999999955,
mamba,32,75,0.7135,0.6822,0.5694,0.5694,0.031299999999999994,
mamba,32,76,0.7103,0.6748,0.5691,0.5688,0.03550000000000009,
mamba,32,77,0.715,0.6864,0.5721,0.5728,0.02859999999999996,
mamba,32,78,0.7134,0.6843,0.5709,0.5737,0.029100000000000015,
mamba,32,79,0.7157,0.6864,0.5704,0.5739,0.029299999999999993,
mamba,32,80,0.7181,0.6846,0.5735,0.5733,0.033499999999999974,
mamba,32,81,0.7146,0.6825,0.5703,0.5768,0.03210000000000002,
mamba,32,82,0.7142,0.684,0.5728,0.5727,0.030199999999999894,
mamba,32,83,0.7176,0.6864,0.5732,0.5754,0.031200000000000006,
mamba,32,84,0.7156,0.6853,0.5724,0.573,0.030299999999999994,
mamba,32,85,0.7185,0.6896,0.5756,0.5746,0.028900000000000037,
mamba,32,86,0.7168,0.6868,0.5728,0.5713,0.030000000000000027,
mamba,32,87,0.7197,0.6864,0.5777,0.5769,0.033299999999999996,
mamba,32,88,0.7208,0.688,0.5727,0.5719,0.03280000000000005,
mamba,32,89,0.7195,0.6846,0.5715,0.5759,0.03490000000000004,
mamba,32,90,0.7199,0.6875,0.5738,0.5738,0.032399999999999984,
mamba,32,91,0.7204,0.6878,0.5743,0.5752,0.03260000000000007,
mamba,32,92,0.7214,0.6882,0.5774,0.5741,0.03320000000000001,
mamba,32,93,0.7212,0.6897,0.5768,0.5759,0.03149999999999997,
mamba,32,94,0.7223,0.6901,0.5751,0.5756,0.032200000000000006,
mamba,32,95,0.7215,0.688,0.5753,0.5755,0.033500000000000085,
mamba,32,96,0.7221,0.6876,0.5768,0.5755,0.034499999999999975,
mamba,32,97,0.7224,0.688,0.5765,0.5766,0.0344000000000001,
mamba,32,98,0.721,0.6883,0.5759,0.5761,0.03269999999999995,
mamba,32,99,0.7212,0.688,0.5762,0.576,0.03320000000000001,
mamba,32,100,0.7212,0.688,0.5762,0.576,0.03320000000000001,
