block_type,grid,epochs,delta_direction_mean,delta_direction_std,delta_direction_min,delta_direction_max,delta_direction_range,delta_direction_last
gru,8,80-100,-0.010733333333333362,0.0012453086568371913,-0.013700000000000045,-0.008600000000000052,0.005099999999999993,-0.01100000000000001
gru,16,80-100,-0.010919047619047632,0.0013916824513341552,-0.013599999999999945,-0.00660000000000005,0.006999999999999895,-0.010500000000000065
gru,32,80-100,0.019747619047619052,0.001960713924306771,0.015900000000000025,0.025399999999999978,0.009499999999999953,0.019199999999999995
mamba,8,80-100,0.0011428571428571492,0.0013450336970717428,-0.0010000000000000009,0.0043999999999999595,0.00539999999999996,0.0020999999999999908
mamba,16,80-100,0.0003904761904761898,0.0015426954647798049,-0.0038000000000000256,0.0030000000000000027,0.006800000000000028,-9.999999999998899e-05
mamba,32,80-100,0.03240952380952382,0.0015389869153516614,0.028900000000000037,0.03490000000000004,0.006000000000000005,0.03320000000000001
