block_type,grid,sequence_length,max_feasible_micro_batch,max_feasible_accum_steps,max_feasible_peak_nvidia_mb,fastest_micro_batch,fastest_accum_steps,fastest_epoch_sec,speedup_vs_micro8
gru,8,64,128,1,438.0,128,1,13.295356075,10.937463606930889
gru,16,256,128,1,898.0,128,1,17.717377353000018,9.55406940696771
gru,32,1024,128,1,2697.0,128,1,54.95162101200003,6.714993186104918
mamba,8,64,128,1,485.0,128,1,16.9513595814999,10.20287348982049
mamba,16,256,128,1,1077.0,128,1,28.57613146950007,5.937124532709464
mamba,32,1024,128,1,3187.0,64,2,94.77003223800011,1.9286298910449455
