block_type,task_dir,grid_size,signal_strength,pos_mode,row_mean,row_std,col_mean,col_std,diag_mean,diag_std,anti_diag_mean,anti_diag_std,gap_col_minus_row,gap_row_minus_col,gap_diag_minus_row,gap_diag_minus_col
mamba,diagonal,8,single_patch,none,1.0,0.0,0.9752604166666666,0.034987054277459385,0.873046875,0.17199887522248358,1.0,0.0,,,-0.126953125,-0.10221354166666663
mamba,diagonal,8,single_patch,xy_learned,1.0,0.0,1.0,0.0,0.8561197916666666,0.2034773419820664,1.0,0.0,,,-0.14388020833333337,-0.14388020833333337
mamba,diagonal,8,single_pixel,none,0.5205078125,0.01179984958358845,0.5149739583333334,0.007235062099900022,0.5208333333333334,0.010127831501369821,0.6546223958333334,0.0223023348085425,,,0.00032552083333337034,0.005859375
mamba,diagonal,8,single_pixel,xy_learned,0.5185546875,0.023068382443393976,0.5244140625,0.022735247513325813,0.513671875,0.011248146186960283,0.7275390625,0.034692030602210176,,,-0.0048828125,-0.0107421875
mamba,diagonal,16,single_patch,none,0.5231119791666666,0.004603559773349919,0.5166015625,0.009056268062007523,0.51953125,0.0007973599423122325,1.0,0.0,,,-0.0035807291666666297,0.0029296875
mamba,diagonal,16,single_patch,xy_learned,0.5211588541666666,0.011172527540189136,0.5149739583333334,0.016425098712946437,0.5113932291666666,0.008144528647914586,1.0,0.0,,,-0.009765625,-0.0035807291666667407
mamba,diagonal,16,single_pixel,none,0.5201822916666666,0.002800236089532105,0.51171875,0.002392079826936697,0.5231119791666666,0.016769852698426117,0.5286458333333334,0.010375896777675277,,,0.0029296875,0.01139322916666663
mamba,diagonal,16,single_pixel,xy_learned,0.51171875,0.0013810679320049757,0.5104166666666666,0.011508899433374797,0.5123697916666666,0.01358635205384714,0.5354817708333334,0.004806257506586393,,,0.0006510416666666297,0.001953125
mamba,diagonal,24,single_patch,none,0.5120442708333334,0.008066088342033768,0.5192057291666666,0.01818843104778515,0.5061848958333334,0.0020066451832581305,0.9996744791666666,0.0004603559773349919,,,-0.005859375,-0.01302083333333326
mamba,diagonal,24,single_patch,xy_learned,0.5110677083333334,0.008066088342033768,0.5166015625,0.00966747552403483,0.515625,0.005581519596185627,1.0,0.0,,,0.00455729166666663,-0.0009765625
mamba,diagonal,24,single_pixel,none,0.5146484375,0.006019935549774391,0.515625,0.0034756114101664425,0.509765625,0.004219232225525951,0.5146484375,0.009195603445198916,,,-0.0048828125,-0.005859375
mamba,diagonal,24,single_pixel,xy_learned,0.5172526041666666,0.01105813004652541,0.5068359375,0.007853084688681523,0.517578125,0.014938533731228863,0.5211588541666666,0.005877431668381441,,,0.00032552083333337034,0.0107421875
mamba,diagonal,32,single_patch,none,0.5052083333333334,0.006687056830785852,0.5152994791666666,0.007190990245564623,0.5120442708333334,0.011285765509999815,1.0,0.0,,,0.0068359375,-0.0032552083333332593
