block_type,task_dir,branch_dirs,grid_size,signal_strength,pos_mode,seed,best_acc,last_acc,param_count,elapsed_sec,skipped,skip_reason
mamba,vertical,col,8,single_pixel,none,1,0.546875,0.5234375,68994,6.0625505447387695,False,
mamba,vertical,col,8,single_pixel,none,2,0.529296875,0.529296875,68994,6.0963592529296875,False,
mamba,vertical,col,8,single_pixel,xy_learned,0,0.5146484375,0.5087890625,70018,6.159607172012329,False,
mamba,vertical,col,8,single_pixel,xy_learned,1,0.5224609375,0.509765625,70018,6.275464773178101,False,
mamba,vertical,col,8,single_pixel,xy_learned,2,0.5361328125,0.5283203125,70018,6.096938371658325,False,
mamba,vertical,col,16,single_patch,none,0,1.0,1.0,68994,9.494449615478516,False,
mamba,vertical,col,16,single_patch,none,1,1.0,1.0,68994,9.435195684432983,False,
mamba,vertical,col,16,single_patch,none,2,1.0,1.0,68994,9.571247816085815,False,
mamba,vertical,col,16,single_patch,xy_learned,0,1.0,1.0,71042,9.534478664398193,False,
mamba,vertical,col,16,single_patch,xy_learned,1,1.0,1.0,71042,9.539133071899414,False,
mamba,vertical,col,16,single_patch,xy_learned,2,1.0,1.0,71042,9.617100715637207,False,
mamba,vertical,col,16,single_pixel,none,0,0.505859375,0.505859375,68994,9.660642862319946,False,
mamba,vertical,col,16,single_pixel,none,1,0.4921875,0.4609375,68994,9.733815908432007,False,
mamba,vertical,col,16,single_pixel,none,2,0.50390625,0.451171875,68994,9.87807297706604,False,
mamba,vertical,col,16,single_pixel,xy_learned,0,0.5263671875,0.517578125,71042,9.729599952697754,False,
mamba,vertical,col,16,single_pixel,xy_learned,1,0.4970703125,0.4814453125,71042,9.846460103988647,False,
mamba,vertical,col,16,single_pixel,xy_learned,2,0.51953125,0.5048828125,71042,9.905776500701904,False,
mamba,vertical,col,24,single_patch,none,0,1.0,1.0,68994,18.16845965385437,False,
mamba,vertical,col,24,single_patch,none,1,1.0,1.0,68994,18.265713930130005,False,
mamba,vertical,col,24,single_patch,none,2,1.0,1.0,68994,19.460834503173828,False,
mamba,vertical,col,24,single_patch,xy_learned,0,1.0,1.0,72066,19.243361949920654,False,
mamba,vertical,col,24,single_patch,xy_learned,1,1.0,1.0,72066,18.379454612731934,False,
mamba,vertical,col,24,single_patch,xy_learned,2,1.0,1.0,72066,18.369863748550415,False,
mamba,vertical,col,24,single_pixel,none,0,0.5166015625,0.5009765625,68994,18.844959497451782,False,
mamba,vertical,col,24,single_pixel,none,1,0.5380859375,0.5380859375,68994,18.536439180374146,False,
mamba,vertical,col,24,single_pixel,none,2,0.5126953125,0.470703125,68994,18.50336527824402,False,
mamba,vertical,col,24,single_pixel,xy_learned,0,0.5087890625,0.5068359375,72066,18.734593868255615,False,
mamba,vertical,col,24,single_pixel,xy_learned,1,0.54296875,0.54296875,72066,18.601754426956177,False,
mamba,vertical,col,24,single_pixel,xy_learned,2,0.4912109375,0.470703125,72066,18.676830291748047,False,
mamba,vertical,col,32,single_patch,none,0,1.0,1.0,68994,32.161728858947754,False,
mamba,vertical,col,32,single_patch,none,1,1.0,1.0,68994,31.881381273269653,False,
mamba,vertical,col,32,single_patch,none,2,1.0,1.0,68994,31.671056985855103,False,
mamba,vertical,col,32,single_patch,xy_learned,0,1.0,1.0,73090,32.208184003829956,False,
mamba,vertical,col,32,single_patch,xy_learned,1,1.0,1.0,73090,33.63039231300354,False,
mamba,vertical,col,32,single_patch,xy_learned,2,1.0,1.0,73090,33.80922555923462,False,
mamba,vertical,col,32,single_pixel,none,0,0.5048828125,0.494140625,68994,32.196122884750366,False,
