dataset,block_type,grid,sequence_length,patch_size,mean_epoch_sec,epoch1_sec,epoch2_sec,mean_train_sec,mean_eval_sec,row_peak_memory_mb,four_peak_memory_mb,four_to_single_train_ratio,four_to_single_eval_ratio,mean_power_w
cifar10,gru,8,64,4,53.717497703500044,53.440437870000096,53.99455753699999,47.03250151899999,6.684994834500003,28.17822265625,35.49853515625,2.897204151476692,3.9048241958131715,25.18641509433962
cifar10,gru,16,256,2,67.1997481190001,64.49364393300016,69.90585230500005,60.27587809049999,6.923868778499923,36.93115234375,60.6650390625,2.923034894259441,3.173500741406209,27.190317460317456
cifar10,gru,32,1024,1,117.70162646849997,116.8196391859999,118.58361375100003,108.05662206400018,9.645003154500273,148.51708984375,228.26171875,3.0787169816950057,3.1635173924578277,50.025625000000005
cifar10,mamba,8,64,4,70.9245672605,74.86782107699992,66.98131344400008,64.21661244250004,6.7079536679998455,21.546875,32.23876953125,3.2854198334949025,2.8184073383900277,26.24641791044776
cifar10,mamba,16,256,2,60.25425940150012,62.45745054000008,58.05106826300016,54.03873201550027,6.215526286000113,29.5107421875,62.986328125,2.604352594546519,3.206230778006107,27.91583333333333
cifar10,mamba,32,1024,1,67.21909998649994,64.48514164500011,69.95305832799977,59.45148274350004,7.767615642999999,148.74853515625,266.1240234375,2.8241893352839207,2.811988622212454,38.259545454545446
cifar10_up64,gru,8,64,8,54.73554435350002,54.131541322999965,55.33954738400007,48.71643031199983,6.019112591499834,28.75830078125,37.11572265625,3.458720002299764,3.338502327871109,25.62074074074074
cifar10_up64,gru,16,256,4,64.43195970850002,65.01547904500012,63.848440371999914,57.174955082000224,7.257003276499972,37.392578125,61.9130859375,2.777309261101493,2.9781046907510533,28.89783333333333
cifar10_up64,gru,32,1024,2,119.45490075850012,118.03928438000003,120.8705171370002,109.722625031,9.732273627500035,70.23828125,154.6123046875,2.812530162496296,3.357149147129941,50.24720338983051
cifar10_up64,mamba,8,64,8,74.18818097400003,69.01286479999999,79.36349714800008,66.14380061599991,8.044378307999978,22.126953125,34.34228515625,2.7199757549935004,3.3102930450434416,26.85958904109589
cifar10_up64,mamba,16,256,4,65.5726516379998,68.88691729599987,62.25838597999973,58.964590773000054,6.608059714999854,29.97216796875,64.234375,2.4845751029598984,2.9084380565637935,27.852153846153847
cifar10_up64,mamba,32,1024,2,66.895064972,69.29672191400005,64.49340802999996,59.98596921349986,6.909094558500101,64.912109375,189.009765625,3.1928477688347927,3.2122229724305877,38.67984848484848
tiny_imagenet,gru,8,64,8,93.4737823255,92.37604959700002,94.57151505399997,87.44858278049992,6.025198144999877,28.94873046875,37.30615234375,2.758195390175376,3.2552451882371622,25.764891304347824
tiny_imagenet,gru,16,256,4,114.5942297879999,116.05333368899983,113.13512588699996,108.06676757749983,6.5274596105000455,37.5830078125,62.103515625,2.6872506499198643,2.7967454841930457,30.496548672566373
tiny_imagenet,gru,32,1024,2,214.81488692250014,216.0807289029999,213.54904494200036,205.57530007250034,9.239584350000314,70.4287109375,154.802734375,2.838663926912172,3.398686072678084,51.11668246445499
tiny_imagenet,mamba,8,64,8,114.39212347049943,118.33600874999956,110.44823819099929,107.97458914199979,6.417533228500361,22.34326171875,34.53271484375,2.532132508526629,2.573619771193859,26.74938053097345
tiny_imagenet,mamba,16,256,4,121.81785872550017,123.66996763499992,119.96574981600043,115.14300135650046,6.674856118999742,30.1884765625,64.4248046875,2.413748367135714,2.700555445242479,27.967500000000005
tiny_imagenet,mamba,32,1024,2,125.67518701800009,124.90514535300008,126.4452286830001,118.65404068150019,7.021144436500435,65.1025390625,189.2001953125,2.7662908846718826,2.537835716707861,39.306916666666666
