block_type,task_dir,branch_dirs,grid_size,signal_strength,pos_mode,seed,best_acc,last_acc,param_count,elapsed_sec,skipped,skip_reason
gru,vertical,col,16,single_patch,xy_learned,1,1.0,1.0,55682,8.01338267326355,False,
gru,vertical,col,16,single_patch,xy_learned,2,1.0,1.0,55682,7.956401824951172,False,
gru,vertical,col,16,single_pixel,none,0,0.515625,0.5048828125,53634,8.34718918800354,False,
gru,vertical,col,16,single_pixel,none,1,0.482421875,0.482421875,53634,8.092723608016968,False,
gru,vertical,col,16,single_pixel,none,2,0.5302734375,0.5185546875,53634,8.139887809753418,False,
gru,vertical,col,16,single_pixel,xy_learned,0,0.505859375,0.5048828125,55682,8.274549007415771,False,
gru,vertical,col,16,single_pixel,xy_learned,1,0.4921875,0.46875,55682,8.373794078826904,False,
gru,vertical,col,16,single_pixel,xy_learned,2,0.5126953125,0.4775390625,55682,8.385982990264893,False,
gru,vertical,col,24,single_patch,none,0,0.5048828125,0.501953125,53634,12.777843475341797,False,
gru,vertical,col,24,single_patch,none,1,0.5048828125,0.4951171875,53634,12.800086736679077,False,
gru,vertical,col,24,single_patch,none,2,0.5068359375,0.490234375,53634,12.72159481048584,False,
gru,vertical,col,24,single_patch,xy_learned,0,0.9580078125,0.9580078125,56706,13.033601760864258,False,
gru,vertical,col,24,single_patch,xy_learned,1,0.5048828125,0.5,56706,12.957211971282959,False,
gru,vertical,col,24,single_patch,xy_learned,2,0.5029296875,0.4931640625,56706,13.04568362236023,False,
gru,vertical,col,24,single_pixel,none,0,0.4990234375,0.4990234375,53634,12.972421407699585,False,
gru,vertical,col,24,single_pixel,none,1,0.521484375,0.5068359375,53634,13.075949668884277,False,
gru,vertical,col,24,single_pixel,none,2,0.49609375,0.474609375,53634,13.133439779281616,False,
gru,vertical,col,24,single_pixel,xy_learned,0,0.4990234375,0.4853515625,56706,13.62233281135559,False,
gru,vertical,col,24,single_pixel,xy_learned,1,0.4970703125,0.4912109375,56706,13.706471681594849,False,
gru,vertical,col,24,single_pixel,xy_learned,2,0.4990234375,0.4892578125,56706,14.50770378112793,False,
gru,vertical,col,32,single_patch,none,0,0.5302734375,0.521484375,53634,22.82648253440857,False,
gru,vertical,col,32,single_patch,none,1,0.5205078125,0.5205078125,53634,22.40979766845703,False,
gru,vertical,col,32,single_patch,none,2,0.51953125,0.51953125,53634,22.444637298583984,False,
gru,vertical,col,32,single_patch,xy_learned,0,0.48828125,0.4873046875,57730,22.61267113685608,False,
gru,vertical,col,32,single_patch,xy_learned,1,0.521484375,0.521484375,57730,22.901232719421387,False,
gru,vertical,col,32,single_patch,xy_learned,2,0.5009765625,0.5009765625,57730,22.468722105026245,False,
gru,vertical,col,32,single_pixel,none,0,0.5185546875,0.494140625,53634,22.49380612373352,False,
gru,vertical,col,32,single_pixel,none,1,0.515625,0.515625,53634,22.399712324142456,False,
gru,vertical,col,32,single_pixel,none,2,0.515625,0.515625,53634,22.542191743850708,False,
gru,vertical,col,32,single_pixel,xy_learned,0,0.50390625,0.4912109375,57730,22.78015947341919,False,
gru,vertical,col,32,single_pixel,xy_learned,1,0.5078125,0.4990234375,57730,22.677443981170654,False,
gru,vertical,col,32,single_pixel,xy_learned,2,0.501953125,0.4912109375,57730,22.574851512908936,False,
gru,vertical,diag,8,single_patch,none,0,0.525390625,0.501953125,53634,5.162255048751831,False,
gru,vertical,diag,8,single_patch,none,1,0.5244140625,0.515625,53634,5.25071120262146,False,
gru,vertical,diag,8,single_patch,none,2,0.509765625,0.509765625,53634,5.033442497253418,False,
gru,vertical,diag,8,single_patch,xy_learned,0,0.513671875,0.513671875,54658,5.170518398284912,False,
gru,vertical,diag,8,single_patch,xy_learned,1,0.5234375,0.5234375,54658,5.558715105056763,False,
gru,vertical,diag,8,single_patch,xy_learned,2,0.5146484375,0.5126953125,54658,5.576964378356934,False,
gru,vertical,diag,8,single_pixel,none,0,0.53125,0.53125,53634,5.803345441818237,False,
gru,vertical,diag,8,single_pixel,none,1,0.5234375,0.5126953125,53634,5.490075588226318,False,
gru,vertical,diag,8,single_pixel,none,2,0.5244140625,0.5244140625,53634,6.212381839752197,False,
gru,vertical,diag,8,single_pixel,xy_learned,0,0.515625,0.5146484375,54658,5.850381851196289,False,
gru,vertical,diag,8,single_pixel,xy_learned,1,0.533203125,0.533203125,54658,5.610122442245483,False,
gru,vertical,diag,8,single_pixel,xy_learned,2,0.517578125,0.517578125,54658,5.535211563110352,False,
gru,vertical,diag,16,single_patch,none,0,0.5205078125,0.5205078125,53634,8.053518533706665,False,
gru,vertical,diag,16,single_patch,none,1,0.515625,0.515625,53634,8.031249523162842,False,
gru,vertical,diag,16,single_patch,none,2,0.5361328125,0.5263671875,53634,8.075905561447144,False,
gru,vertical,diag,16,single_patch,xy_learned,0,0.51171875,0.51171875,55682,8.247542142868042,False,
gru,vertical,diag,16,single_patch,xy_learned,1,0.50390625,0.50390625,55682,8.030941247940063,False,
gru,vertical,diag,16,single_patch,xy_learned,2,0.5390625,0.5390625,55682,8.169435977935791,False,
gru,vertical,diag,16,single_pixel,none,0,0.51171875,0.5078125,53634,8.25386929512024,False,
gru,vertical,diag,16,single_pixel,none,1,0.494140625,0.48828125,53634,8.397206783294678,False,
gru,vertical,diag,16,single_pixel,none,2,0.54296875,0.5009765625,53634,8.272335290908813,False,
gru,vertical,diag,16,single_pixel,xy_learned,0,0.5263671875,0.517578125,55682,8.3520188331604,False,
gru,vertical,diag,16,single_pixel,xy_learned,1,0.490234375,0.490234375,55682,8.403989553451538,False,
gru,vertical,diag,16,single_pixel,xy_learned,2,0.5244140625,0.4990234375,55682,8.404177188873291,False,
gru,vertical,diag,24,single_patch,none,0,0.509765625,0.50390625,53634,12.861718893051147,False,
gru,vertical,diag,24,single_patch,none,1,0.52734375,0.52734375,53634,13.039277791976929,False,
gru,vertical,diag,24,single_patch,none,2,0.515625,0.5048828125,53634,12.950822114944458,False,
gru,vertical,diag,24,single_patch,xy_learned,0,0.5185546875,0.4931640625,56706,13.109231233596802,False,
gru,vertical,diag,24,single_patch,xy_learned,1,0.525390625,0.525390625,56706,12.920549631118774,False,
gru,vertical,diag,24,single_patch,xy_learned,2,0.5166015625,0.4921875,56706,12.880922317504883,False,
gru,vertical,diag,24,single_pixel,none,0,0.5048828125,0.48828125,53634,13.565328359603882,False,
gru,vertical,diag,24,single_pixel,none,1,0.5244140625,0.513671875,53634,13.035605192184448,False,
gru,vertical,diag,24,single_pixel,none,2,0.513671875,0.5,53634,13.254303932189941,False,
gru,vertical,diag,24,single_pixel,xy_learned,0,0.5048828125,0.5048828125,56706,13.174309730529785,False,
gru,vertical,diag,24,single_pixel,xy_learned,1,0.5205078125,0.5205078125,56706,13.320753335952759,False,
gru,vertical,diag,24,single_pixel,xy_learned,2,0.4990234375,0.494140625,56706,13.074965715408325,False,
gru,vertical,diag,32,single_patch,none,0,0.5322265625,0.5244140625,53634,22.461794137954712,False,
gru,vertical,diag,32,single_patch,none,1,0.51953125,0.51953125,53634,23.963834762573242,False,
gru,vertical,diag,32,single_patch,none,2,0.5205078125,0.5087890625,53634,24.43837857246399,False,
gru,vertical,diag,32,single_patch,xy_learned,0,0.521484375,0.521484375,57730,22.784581661224365,False,
gru,vertical,diag,32,single_patch,xy_learned,1,0.517578125,0.513671875,57730,22.74153470993042,False,
gru,vertical,diag,32,single_patch,xy_learned,2,0.5234375,0.5224609375,57730,22.73608708381653,False,
gru,vertical,diag,32,single_pixel,none,0,0.5009765625,0.4892578125,53634,22.64097762107849,False,
gru,vertical,diag,32,single_pixel,none,1,0.51171875,0.5078125,53634,22.772555828094482,False,
gru,vertical,diag,32,single_pixel,none,2,0.5078125,0.5078125,53634,22.592947959899902,False,
gru,vertical,diag,32,single_pixel,xy_learned,0,0.5107421875,0.4990234375,57730,22.915730237960815,False,
gru,vertical,diag,32,single_pixel,xy_learned,1,0.5126953125,0.4990234375,57730,22.54666519165039,False,
