block_type,task_dir,grid_size,signal_strength,pos_mode,row_mean,row_std,col_mean,col_std,diag_mean,diag_std,anti_diag_mean,anti_diag_std,gap_col_minus_row,gap_row_minus_col,gap_diag_minus_row,gap_diag_minus_col
gru,diagonal,8,single_patch,none,1.0,0.0,1.0,0.0,0.5439453125,0.05334570423338931,1.0,0.0,,,-0.4560546875,-0.4560546875
gru,diagonal,8,single_patch,xy_learned,1.0,0.0,1.0,0.0,0.5087890625,0.015275219019075607,1.0,0.0,,,-0.4912109375,-0.4912109375
gru,diagonal,8,single_pixel,none,0.5211588541666666,0.008066088342033768,0.5260416666666666,0.005309084124446644,0.5094401041666666,0.007408728305169949,0.7897135416666666,0.006444983682689886,,,-0.01171875,-0.0166015625
gru,diagonal,8,single_pixel,xy_learned,0.5283203125,0.0021096161127629755,0.5302734375,0.00443951227115425,0.5205078125,0.012531495152942811,0.9459635416666666,0.009512785935027641,,,-0.0078125,-0.009765625
gru,diagonal,16,single_patch,none,0.5123697916666666,0.009172527866930581,0.5110677083333334,0.009579387349975366,0.5130208333333334,0.008144528647914586,1.0,0.0,,,0.0006510416666667407,0.001953125
gru,diagonal,16,single_patch,xy_learned,0.5182291666666666,0.017977475613911557,0.5188802083333334,0.008375442923351958,0.5305989583333334,0.012514572126784562,1.0,0.0,,,0.01236979166666674,0.01171875
gru,diagonal,16,single_pixel,none,0.5094401041666666,0.011313897914702322,0.5087890625,0.007689460814464659,0.5100911458333334,0.00766185045308582,0.6565755208333334,0.01363306744229943,,,0.0006510416666667407,0.0013020833333333703
gru,diagonal,16,single_pixel,xy_learned,0.5120442708333334,0.009743899444723805,0.5227864583333334,0.009445714927439394,0.5244140625,0.013601941676937616,0.9270833333333334,0.011172527540189136,,,0.01236979166666663,0.0016276041666666297
gru,diagonal,24,single_patch,none,0.5052083333333334,0.009969656791089554,0.5065104166666666,0.0023017798866749595,0.5091145833333334,0.002563153604821553,0.9996744791666666,0.0004603559773349919,,,0.00390625,0.0026041666666667407
gru,diagonal,24,single_patch,xy_learned,0.5130208333333334,0.008746763569364846,0.5107421875,0.006328848338288926,0.5104166666666666,0.009344205790629768,1.0,0.0,,,-0.0026041666666667407,-0.00032552083333337034
