block_type,task_dir,branch_dirs,grid_size,signal_strength,pos_mode,seed,backbone_best_acc,backbone_last_acc,probe_best_acc,probe_last_acc,row_distance,col_distance,scan_distance,param_count,probe_param_count,elapsed_sec,skipped,skip_reason
gru,horizontal,col,16,single_patch,xy_learned,1,0.490234375,0.478515625,0.5068359375,0.4697265625,0.0,15.0,240.0,55682,130,22.0086452960968,False,
gru,horizontal,col,16,single_patch,xy_learned,2,0.5205078125,0.5048828125,0.4931640625,0.490234375,0.0,15.0,240.0,55682,130,21.90417981147766,False,
gru,horizontal,col,24,single_patch,xy_learned,0,0.521484375,0.505859375,0.5419921875,0.5322265625,0.0,23.0,552.0,56706,130,35.62876558303833,False,
gru,horizontal,col,24,single_patch,xy_learned,1,0.5087890625,0.4912109375,0.4990234375,0.4833984375,0.0,23.0,552.0,56706,130,34.46274280548096,False,
gru,horizontal,col,24,single_patch,xy_learned,2,0.5283203125,0.5205078125,0.533203125,0.5205078125,0.0,23.0,552.0,56706,130,36.24867367744446,False,
gru,horizontal,col,32,single_patch,xy_learned,0,0.52734375,0.50390625,0.4951171875,0.4833984375,0.0,31.0,992.0,57730,130,60.087498903274536,False,
gru,horizontal,col,32,single_patch,xy_learned,1,0.515625,0.505859375,0.5166015625,0.482421875,0.0,31.0,992.0,57730,130,60.06669497489929,False,
gru,horizontal,col,32,single_patch,xy_learned,2,0.501953125,0.501953125,0.53125,0.509765625,0.0,31.0,992.0,57730,130,61.36466860771179,False,
mamba,vertical,row,8,single_patch,xy_learned,0,1.0,1.0,1.0,1.0,7.0,0.0,56.0,70018,130,16.217111587524414,False,
mamba,vertical,row,8,single_patch,xy_learned,1,0.5322265625,0.5087890625,0.5166015625,0.513671875,7.0,0.0,56.0,70018,130,17.040611505508423,False,
mamba,vertical,row,8,single_patch,xy_learned,2,0.52734375,0.52734375,0.509765625,0.5029296875,7.0,0.0,56.0,70018,130,16.414597034454346,False,
mamba,vertical,row,16,single_patch,xy_learned,0,0.5029296875,0.5029296875,0.509765625,0.4921875,15.0,0.0,240.0,71042,130,24.417789936065674,False,
mamba,vertical,row,16,single_patch,xy_learned,1,0.4990234375,0.4990234375,0.509765625,0.4833984375,15.0,0.0,240.0,71042,130,24.45922350883484,False,
mamba,vertical,row,16,single_patch,xy_learned,2,0.51953125,0.5087890625,0.5068359375,0.505859375,15.0,0.0,240.0,71042,130,24.192920446395874,False,
mamba,vertical,row,24,single_patch,xy_learned,0,0.509765625,0.4638671875,0.47265625,0.470703125,23.0,0.0,552.0,72066,130,43.22840738296509,False,
mamba,vertical,row,24,single_patch,xy_learned,1,0.5185546875,0.4833984375,0.4951171875,0.48828125,23.0,0.0,552.0,72066,130,42.881885290145874,False,
mamba,vertical,row,24,single_patch,xy_learned,2,0.505859375,0.490234375,0.501953125,0.4853515625,23.0,0.0,552.0,72066,130,43.134153604507446,False,
mamba,vertical,row,32,single_patch,xy_learned,0,0.537109375,0.49609375,0.490234375,0.4794921875,31.0,0.0,992.0,73090,130,74.84417629241943,False,
mamba,vertical,row,32,single_patch,xy_learned,1,0.5029296875,0.4755859375,0.498046875,0.4921875,31.0,0.0,992.0,73090,130,73.62934160232544,False,
