block_type,grid,micro_batch,epoch,train_loss,train_acc,test_loss,test_acc,train_sec,eval_sec,epoch_wall_sec,test_acc_rolling
gru,8,128,1,1.7683083094083345,0.34318910256410257,1.5847939086914062,0.4242,5.942978291000145,0.711970210999425,6.654950002000078,
gru,8,128,2,1.4796966075897218,0.45853365384615385,1.4104915069580077,0.4921,5.1658342800001265,0.687364711000555,5.8532008909996875,
gru,8,128,3,1.3285888898066984,0.5188301282051282,1.2642479034423828,0.5462,5.494971286000691,0.7085052100001121,6.203478396000719,
gru,8,128,4,1.2431575405292021,0.553886217948718,1.171939617919922,0.5727,5.440380083000491,0.700771211000756,6.141152994000549,
gru,8,128,5,1.1863498051961263,0.5736177884615384,1.192380419921875,0.5783,5.603908484000385,0.6970660099996167,6.300976794000235,0.5226999999999999
gru,8,128,6,1.1375170059693165,0.5905248397435897,1.0923046928405762,0.6063,5.438105781000559,0.8071705120000843,6.245278092999797,0.5591200000000001
gru,8,128,7,1.100483708198254,0.6076121794871795,1.0354530654907226,0.628,5.774416485000074,0.8888302140003361,6.663248599000326,0.5863
gru,8,128,8,1.0684414223218575,0.6170873397435898,1.0385801361083984,0.6269,5.357220378999955,0.7182181489997674,6.075440327999786,0.60244
gru,8,128,9,1.0371155488185393,0.6277043269230769,1.001880588531494,0.6436,5.291325904000587,0.7127154059999157,6.004043110000566,0.61662
gru,8,128,10,1.0163719534873963,0.6360376602564103,1.0008227584838867,0.6457,5.330751412999234,0.6968333869999697,6.027586700000029,0.6301
gru,8,128,11,0.9923991589974135,0.6479567307692308,0.9529109771728516,0.662,5.224283339000067,0.7138204590000896,5.9381071979996705,0.64124
gru,8,128,12,0.9748266493662809,0.6519831730769231,0.9402188552856445,0.6692,5.18413550599962,0.7280997610005215,5.912238867000269,0.64948
gru,8,128,13,0.9579284648100536,0.6589543269230769,0.9414776168823242,0.669,5.277412046999416,0.6853089680007542,5.962723614999959,0.6578999999999999
gru,8,128,14,0.9377409069966047,0.6681490384615385,0.9314049362182617,0.6718,5.407477408999512,0.6978663790005157,6.105345287999626,0.66354
gru,8,128,15,0.9249343445667854,0.6707932692307692,0.8916268341064453,0.6889,5.36535526499938,0.7076992299998892,6.073056994999206,0.6721799999999999
gru,8,128,16,0.9103828957447639,0.6782251602564102,0.8770853332519531,0.6897,5.838868552999884,0.8072794419995262,6.64615229500032,0.6777199999999999
gru,8,128,17,0.8999015840200277,0.6816907051282052,0.8957664299011231,0.6866,6.492683440999826,0.7843053229998986,7.276992963999874,0.6812
gru,8,128,18,0.889524876460051,0.6857171474358974,0.8783561683654785,0.6924,6.426763817999927,0.7898449899994375,7.2166126079991955,0.6858799999999999
gru,8,128,19,0.8699078414684687,0.6917067307692307,0.8578256309509278,0.7032,5.879107046000172,0.6982819200002268,6.577393565999955,0.69216
gru,8,128,20,0.8662540230995569,0.6928485576923077,0.8605698722839356,0.6996,5.395674657999734,0.7129339009998148,6.108612958999402,0.6943000000000001
gru,8,128,21,0.8553054580321678,0.6987179487179487,0.861218985748291,0.7005,5.395634888999666,0.6744767949994639,6.0701148839998496,0.6964600000000001
gru,8,128,22,0.8527679700117845,0.7006209935897436,0.865171587753296,0.6983,5.327393055000357,0.6832674209999823,6.010663275999832,0.6988000000000001
gru,8,128,23,0.8365933250158261,0.7038661858974359,0.8255380935668946,0.7077,5.370462809999481,0.7145976809997592,6.085066090999135,0.70186
gru,8,128,24,0.8314355303079654,0.7066706730769231,0.8584461120605469,0.701,5.541455947000031,0.6777926920003665,6.219251638999594,0.70142
gru,8,128,25,0.8191808150364802,0.7110777243589743,0.8155643409729004,0.7171,5.354045867999957,0.8332501700006105,6.187298937999913,0.70492
gru,8,128,26,0.8132407353474543,0.7126201923076924,0.8481402252197265,0.7055,5.5326637889993435,0.6721716540005218,6.20483834299921,0.7059200000000001
gru,8,128,27,0.8045937148424295,0.7160657051282051,0.8697119972229004,0.7,5.318396424999264,0.6713245540004209,5.98972447899996,0.70626
gru,8,128,28,0.8004991826338645,0.7187700320512821,0.8016574401855469,0.7196,5.395335578999948,0.6943576930007112,6.089698071999919,0.7086399999999999
gru,8,128,29,0.791732885593023,0.7209535256410257,0.7939718296051025,0.7225,5.350471044000187,0.688581129999875,6.039056573999915,0.71294
gru,8,128,30,0.7858331889678271,0.7244791666666667,0.797502717590332,0.722,5.725479478000125,0.7757987700006197,6.501283648000026,0.71392
gru,8,128,31,0.7827906880623255,0.7250200320512821,0.7980091583251954,0.7201,6.10770864999995,0.7539735379996273,6.861687087999599,0.71684
gru,8,128,32,0.7730369815459618,0.7288261217948718,0.7947441146850586,0.7268,6.504980497999895,0.7716989000000467,7.276685298000302,0.7222
gru,8,128,33,0.7694584797590207,0.7297676282051282,0.7937190315246582,0.7218,6.026569300000119,0.7513751000005868,6.777949300000728,0.72264
gru,8,128,34,0.7683466660670745,0.7288461538461538,0.8098875328063965,0.7173,5.896973007999804,0.7406132019996221,6.637592709999808,0.7215999999999999
