block_type,grid,recommended_micro_batch,epochs_per_run,single_branch_runs,four_branch_runs,total_runs,single_epoch_sec,single_timing_source,four_epoch_sec,single_hours_per_run,four_hours_per_run,cell_gpu_hours
gru,8,128,60,15,10,25,6.752308161099958,60_epoch_probe_mean,13.295356075,0.11253846935166596,0.2215892679166667,3.903969719441656
gru,16,128,60,15,10,25,7.033625699850144,prior_row_micro8_scaled_by_real4_speedup,17.717377353000018,0.11722709499750239,0.2952896225500003,4.711302650462539
gru,32,128,60,15,10,25,14.82562660133335,60_epoch_probe_mean,54.95162101200003,0.24709377668888918,0.9158603502000006,12.865010152333344
mamba,8,128,60,15,10,25,7.047888978133293,60_epoch_probe_mean,16.9513595814999,0.11746481630222155,0.282522659691665,4.587198841449974
mamba,16,128,60,15,10,25,10.148727564924853,prior_row_micro8_scaled_by_real4_speedup,28.57613146950007,0.1691454594154142,0.47626885782500117,7.299870469481225
mamba,32,64,60,15,10,25,25.79364690918325,60_epoch_probe_mean,94.77003223800011,0.42989411515305415,1.579500537300002,22.24341710029583
