dataset,block_type,variant,branch_dirs,pos_mode,mean,std,accs,delta_vs_row,delta_vs_same_row_4
cifar10,gru,row,row,xy_learned,0.7190666666666666,0.003104119127152771,"[0.7192, 0.7152, 0.7228]",0.0,-0.03290000000000004
cifar10,gru,col,col,xy_learned,0.7165333333333334,0.0017441967269268316,"[0.7174, 0.7141, 0.7181]",-0.0025333333333332764,-0.03543333333333332
cifar10,gru,real_4dir,"row,col,diag,anti_diag",xy_learned,0.7522333333333333,0.002106075866524182,"[0.7515, 0.7551, 0.7501]",0.03316666666666668,0.0002666666666666373
cifar10,gru,same_row_4,"row,row,row,row",xy_learned,0.7519666666666667,0.00468852025933793,"[0.7505, 0.7471, 0.7583]",0.03290000000000004,0.0
cifar10,mamba,row,row,xy_learned,0.7577333333333334,0.0014817407180594997,"[0.7594, 0.7558, 0.758]",0.0,-0.02073333333333327
cifar10,mamba,col,col,xy_learned,0.7476,0.0019200694431886366,"[0.75, 0.7475, 0.7453]",-0.010133333333333328,-0.030866666666666598
cifar10,mamba,real_4dir,"row,col,diag,anti_diag",xy_learned,0.7848999999999999,0.005398765290940769,"[0.7907, 0.7863, 0.7777]",0.02716666666666656,0.006433333333333291
cifar10,mamba,same_row_4,"row,row,row,row",xy_learned,0.7784666666666666,0.0023907228102721125,"[0.7816, 0.778, 0.7758]",0.02073333333333327,0.0
