arch,d_model,block_type,grid,variant,seed,micro_batch,accum_steps,epoch,lr,lr_scale,train_loss,train_acc,test_loss,test_acc,train_sec,eval_sec,epoch_wall_sec
channel_split,256,gru,8,channel_real_4dir,2,128,1,1,0.0002,0.2,1.883241650997064,0.3084334935897436,1.7696203857421875,0.3588,16.757705114781857,1.2758721336722374,18.03358262218535
channel_split,256,gru,8,channel_real_4dir,2,128,1,2,0.0004,0.4,1.600294986137977,0.41594551282051284,1.582489614868164,0.4271,15.743237875401974,1.1404571142047644,16.883697133511305
channel_split,256,gru,8,channel_real_4dir,2,128,1,3,0.0006,0.6,1.4382724813925913,0.47652243589743587,1.3304491836547852,0.518,15.571486132219434,1.0797414164990187,16.651231976225972
channel_split,256,gru,8,channel_real_4dir,2,128,1,4,0.0008,0.8,1.3349349657694498,0.5121193910256411,1.3297455825805664,0.5177,15.3212931137532,1.0713051091879606,16.392602283507586
channel_split,256,gru,8,channel_real_4dir,2,128,1,5,0.001,1.0,1.2594726058153005,0.5416266025641026,1.177963917541504,0.5748,15.506393019109964,1.1548348106443882,16.66123180836439
channel_split,256,gru,8,channel_real_4dir,2,128,1,6,0.000999726628670463,0.999726628670463,1.1726562162240346,0.5778044871794872,1.1424087135314942,0.5902,15.391971604898572,1.1459401696920395,16.53791657090187
channel_split,256,gru,8,channel_real_4dir,2,128,1,7,0.0009989068136093873,0.9989068136093873,1.107677337145194,0.6018830128205128,1.0605378532409668,0.6231,15.120567036792636,1.0815107133239508,16.20208454504609
channel_split,256,gru,8,channel_real_4dir,2,128,1,8,0.0009975414512725057,0.9975414512725057,1.0557546238104503,0.6224759615384615,1.0044074020385743,0.6445,14.857769627124071,1.1021786481142044,15.959952544420958
channel_split,256,gru,8,channel_real_4dir,2,128,1,9,0.0009956320346634876,0.9956320346634876,1.0133461507467123,0.6357772435897436,0.990157950592041,0.6491,15.13830902427435,1.0839262045919895,16.222239404916763
channel_split,256,gru,8,channel_real_4dir,2,128,1,10,0.0009931806517013613,0.9931806517013612,0.9737210024625828,0.6522836538461538,0.9913103691101074,0.6497,15.286107877269387,1.1592261958867311,16.445339675992727
channel_split,256,gru,8,channel_real_4dir,2,128,1,11,0.0009901899829374047,0.9901899829374047,0.9400444796452155,0.6666065705128205,0.9100204956054687,0.6784,14.35500274784863,1.1238465141505003,15.478854218497872
channel_split,256,gru,8,channel_real_4dir,2,128,1,12,0.000986663298624003,0.9866632986240029,0.9166378803742238,0.6731971153846154,0.904397617340088,0.6804,14.550001131370664,1.1546338219195604,15.704641982913017
channel_split,256,gru,8,channel_real_4dir,2,128,1,13,0.0009826044551386743,0.9826044551386743,0.8891415945994549,0.6853766025641026,0.8887626647949218,0.6865,15.487660551443696,1.1108701918274164,16.59853470697999
channel_split,256,gru,8,channel_real_4dir,2,128,1,14,0.0009780178907671788,0.9780178907671788,0.8668739994366964,0.6922676282051282,0.8355012353897094,0.701,15.540692493319511,1.1095158886164427,16.65021380595863
channel_split,256,gru,8,channel_real_4dir,2,128,1,15,0.0009729086208503173,0.9729086208503173,0.8467641946596977,0.7001001602564103,0.8561950611114502,0.6936,14.525608897209167,1.1320571061223745,15.657670492306352
channel_split,256,gru,8,channel_real_4dir,2,128,1,16,0.0009672822322997304,0.9672822322997304,0.8283036481111478,0.7060897435897436,0.8160788673400879,0.7136,15.294387947767973,1.1078769117593765,16.402269143611193
channel_split,256,gru,8,channel_real_4dir,2,128,1,17,0.0009611448774886924,0.9611448774886924,0.813740308315326,0.7130008012820512,0.7937137168884277,0.7205,15.395881803706288,1.1250701285898685,16.520957177504897
channel_split,256,gru,8,channel_real_4dir,2,128,1,18,0.0009545032675245813,0.9545032675245813,0.797098965369738,0.719891826923077,0.8206763511657715,0.7006,14.325110511854291,1.1571122966706753,15.482227016240358
channel_split,256,gru,8,channel_real_4dir,2,128,1,19,0.0009473646649103818,0.9473646649103817,0.7851737725429045,0.7229166666666667,0.8141197001457214,0.7159,14.972453702241182,1.140593720600009,16.11305173113942
channel_split,256,gru,8,channel_real_4dir,2,128,1,20,0.0009397368756032445,0.9397368756032445,0.7717948507039974,0.7283453525641026,0.7742867250442504,0.7282,14.91334824077785,1.1393903009593487,16.05274262279272
channel_split,256,gru,8,channel_real_4dir,2,128,1,21,0.000931628240478787,0.931628240478787,0.7554631813978537,0.732792467948718,0.7556155820846557,0.7319,15.469917882233858,1.1258843857795,16.595807855948806
channel_split,256,gru,8,channel_real_4dir,2,128,1,22,0.0009230476262104677,0.9230476262104677,0.7481249934587724,0.7356770833333334,0.7510671826362609,0.7335,15.528132285922766,1.1428917981684208,16.67102794162929
channel_split,256,gru,8,channel_real_4dir,2,128,1,23,0.00091400441557401,0.91400441557401,0.7390397942983187,0.7394831730769231,0.7381537384033203,0.7447,15.45261164009571,1.1304816361516714,16.583099460229278
channel_split,256,gru,8,channel_real_4dir,2,128,1,24,0.0009045084971874737,0.9045084971874737,0.7274974398123912,0.7433493589743589,0.729257455444336,0.7458,14.86823127232492,1.1163355838507414,15.984575614333153
channel_split,256,gru,8,channel_real_4dir,2,128,1,25,0.0008945702546981969,0.8945702546981968,0.7167922898744925,0.7479567307692307,0.7321307468414306,0.7468,14.33087763004005,1.1103974487632513,15.441279008984566
channel_split,256,gru,8,channel_real_4dir,2,128,1,26,0.0008842005554284296,0.8842005554284296,0.7062167309033565,0.7500801282051283,0.726139659500122,0.7443,14.287901740521193,1.2494186330586672,15.53732966631651
channel_split,256,gru,8,channel_real_4dir,2,128,1,27,0.000873410738492077,0.873410738492077,0.696797747642566,0.7545272435897435,0.7070030201911927,0.7494,14.382129456847906,1.0658514592796564,15.44798506051302
channel_split,256,gru,8,channel_real_4dir,2,128,1,28,0.0008622126023955446,0.8622126023955445,0.6955504227143068,0.7541666666666667,0.7093073677062989,0.7514,14.667380847036839,1.0071978121995926,15.67458532564342
channel_split,256,gru,8,channel_real_4dir,2,128,1,29,0.0008506183921362443,0.8506183921362442,0.6830605089664459,0.7595352564102564,0.6966084522247314,0.7572,15.090180609375238,1.0998253002762794,16.190014325082302
channel_split,256,gru,8,channel_real_4dir,2,128,1,30,0.0008386407858128706,0.8386407858128706,0.6745056575689561,0.7607371794871794,0.7019646503448487,0.7534,14.911458494141698,1.1536929607391357,16.065156262367964
channel_split,256,gru,8,channel_real_4dir,2,128,1,31,0.0008262928807620843,0.8262928807620843,0.6673026784872398,0.7641626602564102,0.7046517226219178,0.7557,14.955813387408853,1.133708342909813,16.08952573314309
channel_split,256,gru,8,channel_real_4dir,2,128,1,32,0.0008135881792367685,0.8135881792367685,0.6622218216841037,0.7654847756410257,0.6696527685165405,0.7661,15.212511064484715,1.1453325264155865,16.357847813516855
channel_split,256,gru,8,channel_real_4dir,2,128,1,33,0.0008005405736415125,0.8005405736415125,0.6509568348144874,0.7708533653846154,0.6920911036491394,0.754,15.366028940305114,1.1149869542568922,16.481020079925656
channel_split,256,gru,8,channel_real_4dir,2,128,1,34,0.0007871643313414718,0.7871643313414718,0.6415986609764588,0.7714342948717948,0.6747791509628296,0.7622,14.73893784172833,1.1707373838871717,15.909682251513004
channel_split,256,gru,8,channel_real_4dir,2,128,1,35,0.0007734740790612135,0.7734740790612136,0.6387972988379307,0.774959935897436,0.6792382335662842,0.7632,14.39905221387744,1.2193345576524734,15.618391241878271
channel_split,256,gru,8,channel_real_4dir,2,128,1,36,0.0007594847868906076,0.7594847868906076,0.6344147818210798,0.7778445512820513,0.6875502611160278,0.7625,14.061363419517875,1.3322092648595572,15.393577275797725
channel_split,256,gru,8,channel_real_4dir,2,128,1,37,0.0007452117519152541,0.7452117519152541,0.6270637628359672,0.7799879807692308,0.6720332181930542,0.7669,14.981258010491729,1.1155071947723627,16.09677092730999
channel_split,256,gru,8,channel_real_4dir,2,128,1,38,0.000730670581489344,0.7306705814893439,0.6189963354514195,0.7813701923076923,0.6650660904884338,0.7693,14.263277854770422,1.1041247323155403,15.367407120764256
channel_split,256,gru,8,channel_real_4dir,2,128,1,39,0.0007158771761692464,0.7158771761692464,0.6090555538733801,0.7853365384615385,0.6718448150634766,0.7678,15.098984817042947,0.9999497756361961,16.09893922880292
channel_split,256,gru,8,channel_real_4dir,2,128,1,40,0.0007008477123264848,0.7008477123264848,0.6120862956994619,0.783974358974359,0.6789434965133667,0.7651,13.633262136951089,1.1099749207496643,14.743242375552654
channel_split,256,gru,8,channel_real_4dir,2,128,1,41,0.0006855986244591103,0.6855986244591104,0.6040880332390467,0.787099358974359,0.6437845150947571,0.7709,14.209037011489272,1.1289716213941574,15.338012700900435
channel_split,256,gru,8,channel_real_4dir,2,128,1,42,0.0006701465872208216,0.6701465872208215,0.5977238888159776,0.7892628205128205,0.6327420709609985,0.7787,15.099130310118198,1.1621963661164045,16.261331126093864
channel_split,256,gru,8,channel_real_4dir,2,128,1,43,0.0006545084971874737,0.6545084971874737,0.589374608718432,0.7940304487179487,0.6769262069702149,0.766,14.134039778262377,1.172739002853632,15.306783802807331
channel_split,256,gru,8,channel_real_4dir,2,128,1,44,0.0006387014543809223,0.6387014543809223,0.5875444400004851,0.7902243589743589,0.6385271966934204,0.7731,14.649100795388222,1.0860432479530573,15.735149331390858
channel_split,256,gru,8,channel_real_4dir,2,128,1,45,0.0006227427435703996,0.6227427435703996,0.5821916345602427,0.7944310897435898,0.6522535280227661,0.7707,14.628027055412531,1.0324419625103474,15.660471059381962
channel_split,256,gru,8,channel_real_4dir,2,128,1,46,0.0006066498153718734,0.6066498153718735,0.5764493646530005,0.7976161858974359,0.6380897672653199,0.7789,15.186286265030503,1.0335489325225353,16.219839364290237
channel_split,256,gru,8,channel_real_4dir,2,128,1,47,0.000590440267166055,0.590440267166055,0.5693114717801412,0.7987780448717948,0.6626337104797363,0.7726,14.217490835115314,1.1342398505657911,15.35173555649817
channel_split,256,gru,8,channel_real_4dir,2,128,1,48,0.000574131823855921,0.574131823855921,0.5620120248733422,0.8030048076923076,0.653752455329895,0.7731,14.782122895121574,1.1148631237447262,15.896990664303303
channel_split,256,gru,8,channel_real_4dir,2,128,1,49,0.0005577423184847932,0.5577423184847932,0.5587754312234047,0.8045272435897436,0.6349319063186646,0.7789,15.270012686029077,1.026928724721074,16.296945814043283
channel_split,256,gru,8,channel_real_4dir,2,128,1,50,0.0005412896727361663,0.5412896727361662,0.5538363159467012,0.8045673076923077,0.6307895329475403,0.7814,15.255379352718592,1.1478270720690489,16.403210202232003
channel_split,256,gru,8,channel_real_4dir,2,128,1,51,0.0005247918773366112,0.5247918773366111,0.5486482514020724,0.8061899038461539,0.6513717821121215,0.775,14.484289452433586,1.088562460616231,15.57285843230784
channel_split,256,gru,8,channel_real_4dir,2,128,1,52,0.0005082669723831793,0.5082669723831793,0.5462539973167273,0.809395032051282,0.6363987367630005,0.7809,14.065717851743102,1.1520422343164682,15.217765027657151
channel_split,256,gru,8,channel_real_4dir,2,128,1,53,0.0004917330276168208,0.49173302761682075,0.5406089344849954,0.808974358974359,0.6279749873161315,0.7798,14.931595850735903,1.1909972224384546,16.122597228735685
channel_split,256,gru,8,channel_real_4dir,2,128,1,54,0.0004752081226633888,0.4752081226633888,0.5341993535940464,0.8121594551282051,0.6286425987243652,0.7838,15.484570939093828,1.1038756631314754,16.588453674688935
