dataset,block_type,variant,branch_dirs,pos_mode,mean,std,accs,delta_vs_row,delta_vs_same_row_4
cifar10,mamba,row,row,xy_learned,0.7595,0.0,[0.7595],0.0,-0.021600000000000064
cifar10,mamba,real_4dir,"row,col,diag,anti_diag",xy_learned,0.7907,0.0,[0.7907],0.031200000000000006,0.009599999999999942
cifar10,mamba,same_row_4,"row,row,row,row",xy_learned,0.7811,0.0,[0.7811],0.021600000000000064,0.0
