dataset,block_type,variant,branch_dirs,pos_mode,seed,best_acc,last_acc,param_count,elapsed_sec,best_epoch,skipped,skip_reason
cifar10,mamba,row,row,xy_learned,0,0.7595,0.7595,70538,723.4269466400146,29,False,
cifar10,mamba,real_4dir,"row,col,diag,anti_diag",xy_learned,0,0.7907,0.7907,280202,1074.3296267986298,29,False,
cifar10,mamba,same_row_4,"row,row,row,row",xy_learned,0,0.7811,0.7811,280202,1052.1907398700714,29,False,
