block_type,task_dir,grid_size,signal_strength,pos_mode,row_probe_mean,row_probe_std,col_probe_mean,col_probe_std,diag_probe_mean,diag_probe_std,anti_diag_probe_mean,anti_diag_probe_std,probe_gap_col_minus_row,probe_gap_row_minus_col
gru,vertical,8,single_patch,xy_learned,0.5078125,0.0,0.53125,0.0,,,,,0.0234375,
mamba,vertical,8,single_patch,xy_learned,0.4453125,0.0,0.4453125,0.0,,,,,0.0,
