arch,d_model,block_type,grid,variant,seed,micro_batch,accum_steps,epoch,lr,lr_scale,train_loss,train_acc,test_loss,test_acc,train_sec,eval_sec,epoch_wall_sec
channel_split,256,gru,8,channel_real_4dir,4,128,1,1,0.0002,0.2,1.8816222313122872,0.3056891025641026,1.7497660522460938,0.3571,15.189770283177495,0.7766900472342968,15.966466568410397
channel_split,256,gru,8,channel_real_4dir,4,128,1,2,0.0004,0.4,1.6181553889543583,0.40604967948717946,1.5232647705078124,0.4453,14.140191815793514,0.7727485802024603,14.912949066609144
channel_split,256,gru,8,channel_real_4dir,4,128,1,3,0.0006,0.6,1.4496351110629546,0.47025240384615385,1.3422543670654297,0.5144,14.455253353342414,0.7216219902038574,15.176879612728953
channel_split,256,gru,8,channel_real_4dir,4,128,1,4,0.0008,0.8,1.3385987618030646,0.5142828525641026,1.3066387939453126,0.5292,13.901486288756132,0.7239498272538185,14.625439187511802
channel_split,256,gru,8,channel_real_4dir,4,128,1,5,0.001,1.0,1.2725607694723666,0.5393830128205128,1.1914772972106933,0.5733,13.724913833662868,0.6778898518532515,14.402808347716928
channel_split,256,gru,8,channel_real_4dir,4,128,1,6,0.000999726628670463,0.999726628670463,1.1767938606249981,0.5746794871794871,1.1030344436645507,0.602,13.905868479982018,0.692258270457387,14.598130812868476
channel_split,256,gru,8,channel_real_4dir,4,128,1,7,0.0009989068136093873,0.9989068136093873,1.1121291793309724,0.5998397435897436,1.0935956352233887,0.617,14.923624644055963,0.7029089815914631,15.626540234312415
channel_split,256,gru,8,channel_real_4dir,4,128,1,8,0.0009975414512725057,0.9975414512725057,1.0670352330574622,0.6180689102564103,1.0096491195678712,0.6368,14.411830952391028,0.684271801263094,15.096106452867389
channel_split,256,gru,8,channel_real_4dir,4,128,1,9,0.0009956320346634876,0.9956320346634876,1.016095046660839,0.6375801282051282,0.9670196937561035,0.6581,13.48748792335391,0.7658369522541761,14.253329124301672
channel_split,256,gru,8,channel_real_4dir,4,128,1,10,0.0009931806517013613,0.9931806517013612,0.9806674246604626,0.6493990384615385,0.9206612113952637,0.6766,14.693151753395796,0.8069844525307417,15.500143382698298
channel_split,256,gru,8,channel_real_4dir,4,128,1,11,0.0009901899829374047,0.9901899829374047,0.9468635384853069,0.6635416666666667,0.9114003692626953,0.6734,14.72863925434649,0.7263491787016392,15.454991852864623
channel_split,256,gru,8,channel_real_4dir,4,128,1,12,0.000986663298624003,0.9866632986240029,0.9192949988903143,0.6724759615384616,0.8774899703979492,0.6919,14.981898665428162,0.6666468307375908,15.648548079654574
channel_split,256,gru,8,channel_real_4dir,4,128,1,13,0.0009826044551386743,0.9826044551386743,0.8927835913804861,0.6839543269230769,0.9229799758911132,0.6741,14.997148286551237,0.7218716014176607,15.719026766717434
channel_split,256,gru,8,channel_real_4dir,4,128,1,14,0.0009780178907671788,0.9780178907671788,0.8736474278645637,0.6905048076923077,0.8436159210205079,0.7012,14.799203442409635,0.770101485773921,15.569309301674366
channel_split,256,gru,8,channel_real_4dir,4,128,1,15,0.0009729086208503173,0.9729086208503173,0.8506155348741091,0.6984975961538461,0.8111098098754883,0.7131,14.726945841684937,0.6687167529016733,15.395666301250458
channel_split,256,gru,8,channel_real_4dir,4,128,1,16,0.0009672822322997304,0.9672822322997304,0.8351552815009387,0.703926282051282,0.8335968036651611,0.7077,14.02023471519351,0.7623400837182999,14.782578652724624
channel_split,256,gru,8,channel_real_4dir,4,128,1,17,0.0009611448774886924,0.9611448774886924,0.8208643291241083,0.7089342948717948,0.8134394088745117,0.7146,14.643285304307938,0.6928711868822575,15.336160819977522
channel_split,256,gru,8,channel_real_4dir,4,128,1,18,0.0009545032675245813,0.9545032675245813,0.8045030798667516,0.7158052884615385,0.8452910411834716,0.7056,13.79404428228736,0.7042264696210623,14.498274015262723
