block_type,micro_batch,status,peak_allocated_mb,peak_reserved_mb,epoch1_wall_sec,epoch2_wall_sec,mean_epoch_wall_sec,selected
gru,128,feasible,2043.60302734375,2434.0,55.67338791899965,55.32222648600873,55.49780720250419,true
gru,64,feasible,1037.23388671875,1344.0,72.988888863998,74.11514034999709,73.55201460699755,false
gru,32,feasible,532.8125,698.0,110.97662162799679,111.33409430900065,111.15535796849872,false
mamba,128,feasible,2704.13720703125,2944.0,115.49591973298811,114.5770663269941,115.0364930299911,false
mamba,64,feasible,1363.720703125,1538.0,93.308825109998,94.95582320199173,94.13232415599486,true
mamba,32,feasible,691.97021484375,820.0,97.86203430399473,96.87061092999647,97.3663226169956,false
