matrix,dataset,block_type,grid,sequence_length,single_branch_runs,four_branch_runs,total_runs,full_epochs_per_run,single_branch_hours_per_run,four_branch_hours_per_run,cell_gpu_hours,estimated_energy_kwh,electricity_cny
with_shuffle_row_450,cifar10,gru,8,64,15,10,25,30,0.009646385433333293,0.038784303834932324,0.5325388198493227,0.012860812499361144,0.007716487499616686
with_shuffle_row_450,cifar10,gru,16,256,15,10,25,30,0.0008643664750000113,0.0026643064137302466,0.03960856126230264,0.0009636762955118231,0.0005782057773070938
with_shuffle_row_450,cifar10,gru,32,1024,15,10,25,30,0.0011803955833332934,0.0059060004933732995,0.0767659386837324,0.0018823008165251183,0.001129380489915071
with_shuffle_row_450,cifar10,mamba,8,64,15,10,25,30,0.003445296458333402,0.01153079477554383,0.16698739463043935,0.004331653016713597,0.002598991810028158
with_shuffle_row_450,cifar10,mamba,16,256,15,10,25,30,0.0005912694666665886,0.0019711760465443246,0.028580802465442076,0.0007496744486685458,0.00044980466920112745
with_shuffle_row_450,cifar10,mamba,32,1024,15,10,25,30,0.0006915645166666687,0.0022381638780431825,0.03275510653043185,0.0008644072613380965,0.000518644356802858
