matrix,dataset,block_type,grid,sequence_length,single_branch_runs,four_branch_runs,total_runs,full_epochs_per_run,single_branch_hours_per_run,four_branch_hours_per_run,cell_gpu_hours,estimated_energy_kwh,electricity_cny
original_360,cifar10,gru,8,64,10,10,20,30,0.009646385433333293,0.038784303834932324,0.4843068926826562,0.011696011458286148,0.007017606874971689
original_360,cifar10,gru,16,256,10,10,20,30,0.0008643664750000113,0.0026643064137302466,0.03528672888730258,0.0008585261138280717,0.000515115668296843
original_360,cifar10,gru,32,1024,10,10,20,30,0.0011803955833332934,0.0059060004933732995,0.07086396076706591,0.0017375843180084563,0.0010425505908050736
original_360,cifar10,mamba,8,64,10,10,20,30,0.003445296458333402,0.01153079477554383,0.1497609123387723,0.0038847980660677538,0.0023308788396406523
original_360,cifar10,mamba,16,256,10,10,20,30,0.0005912694666665886,0.0019711760465443246,0.025624455132109134,0.0006721294581152227,0.00040327767486913357
original_360,cifar10,mamba,32,1024,10,10,20,30,0.0006915645166666687,0.0022381638780431825,0.02929728394709851,0.0007731553233639297,0.0004638931940183578
