dataset,block_type,grid,sequence_length,patch_size,mean_epoch_sec,epoch1_sec,epoch2_sec,mean_train_sec,mean_eval_sec,row_peak_memory_mb,four_peak_memory_mb,four_to_single_train_ratio,four_to_single_eval_ratio,mean_power_w
cifar10,gru,8,64,4,1.1575662519999952,1.1575662519999952,1.1575662519999952,1.1402243560000045,0.017340696000005096,27.75146484375,33.80908203125,4.018111400318321,4.184836434917298,24.15
cifar10,gru,16,256,2,0.10372397700000136,0.10372397700000136,0.10372397700000136,0.08985147999999299,0.013871297000008553,36.51416015625,59.0146484375,3.006266677221724,3.5756756866042068,24.33
cifar10,gru,32,1024,1,0.14164746999999522,0.14164746999999522,0.14164746999999522,0.11565647599999807,0.025989793999997346,148.30224609375,226.5634765625,5.296241477920268,3.700507738673339,24.52
cifar10,mamba,8,64,4,0.41343557500000827,0.41343557500000827,0.41343557500000827,0.3978648670000098,0.01556930799999634,21.0048828125,30.08740234375,3.328975601272276,3.803183687984195,25.94
cifar10,mamba,16,256,2,0.07095233599999062,0.07095233599999062,0.07095233599999062,0.055388428000000545,0.015562707999990266,28.978515625,60.875,3.276543477113097,3.5378504251575777,26.23
cifar10,mamba,32,1024,1,0.08298774200000025,0.08298774200000025,0.08298774200000025,0.0661354340000031,0.016851008000003276,148.47607421875,263.96484375,2.9912285913259122,4.198767473412329,26.39
